rcept_no,corp_cls,corp_code,corp_name,stock_knd,nm,relate,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,rm,stlm_dt,fiscal_year,endpoint_label
20210331001781,Y,00139834,LG씨엔에스,보통주식,안종봉,특수관계인,"3,074",0.00,0,0.00,임기만료,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,김흥식,특수관계인,825,0.00,0,0.00,임기만료,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,이성은,특수관계인,500,0.00,0,0.00,임기만료,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,계,,"76,151,712",87.33,"45,629,793",52.33,-,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,기타주식,계,,-,-,-,-,-,2020-12-31,2020,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,(주)엘지,최대주주,"43,557,218",49.95,"43,557,218",49.95,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,윤장현,특수관계인,2,0.00,2,0.00,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,윤성원,특수관계인,2,0.00,0,0.00,계열제외,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,김성욱,특수관계인,2,0.00,2,0.00,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,구광모,특수관계인,"972,600",1.12,"972,600",1.12,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,구본능,특수관계인,"729,400",0.84,"729,400",0.84,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,구본준,특수관계인,"243,200",0.28,"243,200",0.28,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,구본식,특수관계인,"121,500",0.14,"121,500",0.14,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,이순환,특수관계인,"3,917",0.00,"3,917",0.00,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,권주오,특수관계인,"1,750",0.00,"1,750",0.00,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,이상현,특수관계인,0,0.00,910,0.00,신규선임,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,김혜정,특수관계인,202,0.00,202,0.00,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,계,,"45,629,793",52.33,"45,630,701",52.33,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,기타주식,계,,-,-,-,-,-,2021-12-31,2021,largest_shareholder
20230331004072,Y,00139834,LG씨엔에스,보통주식,(주)엘지,최대주주,"43,557,218",49.95,"43,557,218",49.95,-,2022-12-31,2022,largest_shareholder
20230331004072,Y,00139834,LG씨엔에스,보통주식,구광모,특수관계인,"972,600",1.12,"972,600",1.12,-,2022-12-31,2022,largest_shareholder
20230331004072,Y,00139834,LG씨엔에스,보통주식,구본능,특수관계인,"729,400",0.84,"729,400",0.84,-,2022-12-31,2022,largest_shareholder
20230331004072,Y,00139834,LG씨엔에스,보통주식,구본준,특수관계인,"243,200",0.28,"243,200",0.28,-,2022-12-31,2022,largest_shareholder
20230331004072,Y,00139834,LG씨엔에스,보통주식,구본식,특수관계인,"121,500",0.14,"121,500",0.14,-,2022-12-31,2022,largest_shareholder
20230331004072,Y,00139834,LG씨엔에스,보통주식,계,,"45,623,918",52.32,"45,623,918",52.32,-,2022-12-31,2022,largest_shareholder
20230331004072,Y,00139834,LG씨엔에스,기타주식,계,,-,-,-,-,-,2022-12-31,2022,largest_shareholder
20240401003467,Y,00139834,LG씨엔에스,보통주식,(주)엘지,최대주주,"43,557,218",49.95,"43,557,218",49.95,-,2023-12-31,2023,largest_shareholder
20240401003467,Y,00139834,LG씨엔에스,보통주식,구광모,특수관계인,"972,600",1.12,"972,600",1.12,-,2023-12-31,2023,largest_shareholder
20240401003467,Y,00139834,LG씨엔에스,보통주식,구본능,특수관계인,"729,400",0.84,"729,400",0.84,-,2023-12-31,2023,largest_shareholder
20240401003467,Y,00139834,LG씨엔에스,보통주식,구본준,특수관계인,"243,200",0.28,"243,200",0.28,-,2023-12-31,2023,largest_shareholder
20240401003467,Y,00139834,LG씨엔에스,보통주식,구본식,특수관계인,"121,500",0.14,"121,500",0.14,-,2023-12-31,2023,largest_shareholder
20240401003467,Y,00139834,LG씨엔에스,보통주식,계,,"45,623,918",52.32,"45,623,918",52.32,-,2023-12-31,2023,largest_shareholder
20240401003467,Y,00139834,LG씨엔에스,기타주식,계,,-,-,-,-,-,2023-12-31,2023,largest_shareholder
20250311001270,Y,00139834,LG씨엔에스,보통주식,(주)엘지,최대주주,"43,557,218",49.95,"43,557,218",49.95,-,2024-12-31,2024,largest_shareholder
20250311001270,Y,00139834,LG씨엔에스,보통주식,구광모,특수관계인,"972,600",1.12,"972,600",1.12,-,2024-12-31,2024,largest_shareholder
20250311001270,Y,00139834,LG씨엔에스,보통주식,구본능,특수관계인,"729,400",0.84,"729,400",0.84,-,2024-12-31,2024,largest_shareholder
20250311001270,Y,00139834,LG씨엔에스,보통주식,구본준,특수관계인,"243,200",0.28,"243,200",0.28,-,2024-12-31,2024,largest_shareholder
20250311001270,Y,00139834,LG씨엔에스,보통주식,구본식,특수관계인,"121,500",0.14,"121,500",0.14,-,2024-12-31,2024,largest_shareholder
20250311001270,Y,00139834,LG씨엔에스,보통주식,계,,"45,623,918",52.32,"45,623,918",52.32,-,2024-12-31,2024,largest_shareholder
20250311001270,Y,00139834,LG씨엔에스,기타주식,계,,-,-,-,-,-,2024-12-31,2024,largest_shareholder
20250319000653,Y,01519790,엠앤씨솔루션,보통주,"소시어스

웰투시인베스트먼트

제2호 기업재무안정

주식회사",본인,"106,052",100.00,"6,753,900",73.78,최대주주,2024-12-31,2024,largest_shareholder
20250319000653,Y,01519790,엠앤씨솔루션,보통주,계,,"106,052",100.00,"6,753,900",73.78,-,2024-12-31,2024,largest_shareholder
20250319000653,Y,01519790,엠앤씨솔루션,-,계,,-,-,-,-,-,2024-12-31,2024,largest_shareholder
20250320000574,Y,00968607,더본코리아,보통주,백종원,본인,"293,095",76.70,"8,792,850",60.00,(주1),2024-12-31,2024,largest_shareholder
20250320000574,Y,00968607,더본코리아,보통주,박준상,친인척,"1,364",0.40,"40,920",0.30,(주1),2024-12-31,2024,largest_shareholder
20250320000574,Y,00968607,더본코리아,보통주,강석원,임원,"72,902",19.10,"2,076,660",14.20,(주1),2024-12-31,2024,largest_shareholder
20250320000574,Y,00968607,더본코리아,보통주,계,,"367,361",96.10,"10,910,430",74.40,(주1),2024-12-31,2024,largest_shareholder
20250320000574,Y,00968607,더본코리아,-,계,,-,-,-,-,-,2024-12-31,2024,largest_shareholder
20250317000812,Y,01867758,한화비전,보통주,(주)한화,최대주주,"17,141,530",33.95,"17,141,530",33.95,-,2024-12-31,2024,largest_shareholder
20250317000812,Y,01867758,한화비전,보통주,안순홍,특수관계,"3,201",0.01,"3,201",0.01,-,2024-12-31,2024,largest_shareholder
20250317000812,Y,01867758,한화비전,보통주,계,,"17,144,731",33.96,"17,144,731",33.96,-,2024-12-31,2024,largest_shareholder
20250317000812,Y,01867758,한화비전,-,계,,-,-,-,-,-,2024-12-31,2024,largest_shareholder
20250317000567,Y,00372129,전진건설로봇,의결권있는 주식, 모트렉스전진1호주식회사,본인,"13,751,724",89.50,"11,444,870",78.40,-,2024-12-31,2024,largest_shareholder
20250317000567,Y,00372129,전진건설로봇,의결권있는 주식,계,,"13,751,724",89.50,"11,444,870",78.40,-,2024-12-31,2024,largest_shareholder
20250317000567,Y,00372129,전진건설로봇,기타,계,,-,-,-,-,-,2024-12-31,2024,largest_shareholder
20250328001583,Y,00366438,산일전기,보통주,박동석,최대주주 본인,"231,522",48.34,"10,965,347",36.02,(주2)(주3)(주4)(주5)(주6)(주7),2024-12-31,2024,largest_shareholder
