sector,n_firm_years,n_firms,correction_rate,material_rate
귀금속 및 장신용품 제조업,7,1,0.0,0.0
그외 기타 개인 서비스업,7,1,0.42857142857142855,0.2857142857142857
금속 주조업,7,1,0.2857142857142857,0.14285714285714285
개인 및 가정용품 임대업,7,1,0.5714285714285714,0.2857142857142857
가정용 기기 제조업,7,1,0.2857142857142857,0.14285714285714285
건물설비 설치 공사업,7,1,0.2857142857142857,0.2857142857142857
"건축자재, 철물 및 난방장치 도매업",7,1,0.0,0.0
"경비, 경호 및 탐정업",7,1,0.0,0.0
스포츠 서비스업,7,1,0.42857142857142855,0.14285714285714285
악기 제조업,7,1,0.2857142857142857,0.14285714285714285
신발 및 신발 부분품 제조업,7,1,0.0,0.0
자동차 부품 및 내장품 판매업,7,1,0.14285714285714285,0.14285714285714285
일반 및 생활 숙박시설 운영업,7,1,0.14285714285714285,0.0
음식점업,7,1,0.14285714285714285,0.14285714285714285
의료용품 및 기타 의약 관련제품 제조업,7,1,0.14285714285714285,0.14285714285714285
오디오물 출판 및 원판 녹음업,7,1,0.2857142857142857,0.2857142857142857
전구 및 조명장치 제조업,7,1,0.2857142857142857,0.14285714285714285
"증기, 냉·온수 및 공기조절 공급업",7,1,0.42857142857142855,0.2857142857142857
편조원단 제조업,7,1,0.42857142857142855,0.14285714285714285
