rcept_no,corp_cls,corp_code,corp_name,se,shrholdr_co,shrholdr_tot_co,shrholdr_rate,hold_stock_co,stock_tot_co,hold_stock_rate,stlm_dt,fiscal_year,endpoint_label
20230828000596,Y,00398701,엘앤에프,소액주주,"173,902","173,923",99.99%,"23,604,632","36,018,316",65.54%,2022-12-31,2022,minority_shareholder
20240328001260,Y,00398701,엘앤에프,소액주주,"248,871","248,894",99.99%,"24,517,913","36,247,825",67.64%,2023-12-31,2023,minority_shareholder
20250311001260,Y,00398701,엘앤에프,소액주주,"222,775","222,798",99.99%,"23,645,252","36,297,174",65.16%,2024-12-31,2024,minority_shareholder
20190329003165,Y,00155212,포스코DX,소액주주,"35,639",-,99.99%,"50,148,150",-,32.99%,2018-12-31,2018,minority_shareholder
20200325000784,Y,00155212,포스코DX,소액주주,"32,628",-,99.97%,"50,198,104",-,33.02%,2019-12-31,2019,minority_shareholder
20210305000693,Y,00155212,포스코DX,소액주주,"72,640","72,648",99.99%,"50,716,630","152,034,729",33.36%,2020-12-31,2020,minority_shareholder
20220504000292,Y,00155212,포스코DX,소액주주,"170,632","170,633",99.999%,"52,631,447","152,034,729",34.62%,2021-12-31,2021,minority_shareholder
20230310000806,Y,00155212,포스코DX,소액주주,"154,795","154,796",99.99%,"52,631,447","152,034,729",34.62%,2022-12-31,2022,minority_shareholder
20240618000197,Y,00155212,포스코DX,소액주주,"235,155","235,161",99.99%,"49,815,255","151,822,519",32.81%,2023-12-31,2023,minority_shareholder
20250314001261,Y,00155212,포스코DX,소액주주,"228,149","228,155",99.997%,"46,222,623","152,034,729",30.41%,2024-12-31,2024,minority_shareholder
20240320000618,Y,00108612,DS단석,소액주주,"68,372","68,383",99.98%,"1,464,129","5,861,404",24.98%,2023-12-31,2023,minority_shareholder
20250321001800,Y,00108612,DS단석,소액주주,"65,355","65,361",99.99%,"9,894,851","17,584,212",56.27%,2024-12-31,2024,minority_shareholder
20240321000011,Y,00367710,동인기연,소액주주,"12,032","12,033",99.99%,"2,026,041","6,122,641",33.09%,2023-12-31,2023,minority_shareholder
20250320001366,Y,00367710,동인기연,소액주주,"4,613","4,615",99.99%,"1,657,847","5,896,020",28.12%,2024-12-31,2024,minority_shareholder
20230321001386,Y,01311408,에코프로머티,소액주주,131,139,94.2%,"3,729,000","57,902,158",6.4%,2022-12-31,2022,minority_shareholder
20240417000528,Y,01311408,에코프로머티,소액주주,"138,512","138,521",99.99%,"13,085,653","68,985,218",18.97%,2023-12-31,2023,minority_shareholder
20250402002504,Y,01311408,에코프로머티,소액주주,"132,734","132,742",99.9%,"20,198,937","69,738,568",29.0%,2024-12-31,2024,minority_shareholder
20240320001860,Y,01105153,두산로보틱스,소액주주,"286,126","286,129",99.99%,"18,188,265","64,819,980",28.06%,2023-12-31,2023,minority_shareholder
20250321001817,Y,01105153,두산로보틱스,소액주주,"257,174","257,178",99.99%,"17,396,199","64,819,980",26.84%,2024-12-31,2024,minority_shareholder
20240321001878,Y,01784394,STX그린로지스,소액주주,"28,113","28,114",99.99%,"3,868,414","7,171,032",53.94%,2023-12-31,2023,minority_shareholder
20250320001570,Y,01784394,STX그린로지스,소액주주,"20,662","20,665",99.98%,"3,701,781","7,171,032",51.62%,2024-12-31,2024,minority_shareholder
