rcept_no,corp_cls,corp_code,corp_name,se,shrholdr_co,shrholdr_tot_co,shrholdr_rate,hold_stock_co,stock_tot_co,hold_stock_rate,stlm_dt,fiscal_year,endpoint_label
20230321001473,Y,00362238,휴비스,소액주주,"14,025","14,031",99.96%,"13,874,317","34,500,000",40.22%,2022-12-31,2022,minority_shareholder
20240318000268,Y,00362238,휴비스,소액주주,"19,794","19,799",99.97%,"14,348,383","34,500,000",41.59%,2023-12-31,2023,minority_shareholder
20250317000508,Y,00362238,휴비스,소액주주,"15,301","15,305",99.97%,"14,829,612","34,500,000",42.98%,2024-12-31,2024,minority_shareholder
20190401003762,Y,00140177,GS리테일,소액주주,"13,915",-,99.96%,"18,504,641",-,24.03%,2018-12-31,2018,minority_shareholder
20210302003597,Y,00140177,GS리테일,소액주주,"13,309",-,99.95%,"20,681,292",-,26.86%,2019-12-31,2019,minority_shareholder
20210701000250,Y,00140177,GS리테일,소액주주,"61,100","61,105",99.99%,"23,716,635","77,000,000",30.8%,2020-12-31,2020,minority_shareholder
20220317001215,Y,00140177,GS리테일,소액주주,"119,222","119,228",99.99%,"36,499,795","104,717,922",34.86%,2021-12-31,2021,minority_shareholder
20230315001215,Y,00140177,GS리테일,소액주주,"103,583","103,590",99.99%,"36,062,444","104,717,922",34.45%,2022-12-31,2022,minority_shareholder
20240401004251,Y,00140177,GS리테일,소액주주,"97,349","97,355",99.99%,"35,729,075","104,717,922",34.13%,2023-12-31,2023,minority_shareholder
20250312000991,Y,00140177,GS리테일,소액주주,"82,529","82,535",99.99%,"28,480,003","83,607,415",34.06%,2024-12-31,2024,minority_shareholder
20190401004209,Y,00151368,인터지스,소액주주,"3,528",-,99.71%,"9,688,023",-,32.56%,2018-12-31,2018,minority_shareholder
20200330002961,Y,00151368,인터지스,소액주주,"3,114",-,99.58%,"8,393,132",-,28.21%,2019-12-31,2019,minority_shareholder
20210322000987,Y,00151368,인터지스,소액주주,"4,614","4,624",99.78%,"9,683,519","29,747,874",32.55%,2020-12-31,2020,minority_shareholder
20220321001232,Y,00151368,인터지스,소액주주,"10,714","10,726",99.90%,"10,690,801","29,747,874",35.94%,2021-12-31,2021,minority_shareholder
20230320000322,Y,00151368,인터지스,소액주주,"10,591","10,602",99.91%,"11,206,408","29,747,874",37.68%,2022-12-31,2022,minority_shareholder
20240321001182,Y,00151368,인터지스,소액주주,"9,171","9,182",99.88%,"11,206,408","29,747,874",37.68%,2023-12-31,2023,minority_shareholder
20250317000861,Y,00151368,인터지스,소액주주,"8,934","8,946",99.87%,"10,806,182","29,747,874",36.33%,2024-12-31,2024,minority_shareholder
20190401003903,Y,00896285,삼양사,소액주주,"5,988",-,99.72%,"1,691,163",-,16.44%,2018-12-31,2018,minority_shareholder
20200407002751,Y,00896285,삼양사,소액주주,"6,176",-,99.74 %,"1,822,592",-,17.71%,2019-12-31,2019,minority_shareholder
20210317001085,Y,00896285,삼양사,소액주주,"9,775","9,791",99.84%,"2,004,247","10,313,449",19.43%,2020-12-31,2020,minority_shareholder
20220812000103,Y,00896285,삼양사,소액주주,"12,422","12,438",99.87%,"2,232,586","10,313,449",21.65%,2021-12-31,2021,minority_shareholder
20230315001060,Y,00896285,삼양사,소액주주,"14,606","14,621",99.90%,"2,519,209","10,313,449",24.43%,2022-12-31,2022,minority_shareholder
20240325000879,Y,00896285,삼양사,소액주주,"13,590","13,595",99.96%,"2,925,338","10,313,449",28.36%,2023-12-31,2023,minority_shareholder
20250319000739,Y,00896285,삼양사,소액주주,"11,733","11,738",99.95%,"2,901,256","10,313,449",28.13%,2024-12-31,2024,minority_shareholder
20190401003851,Y,00269940,하나투어,소액주주,"30,881",-,99.86%,"7,087,587",-,61.01%,2018-12-31,2018,minority_shareholder
20200330002664,Y,00269940,하나투어,소액주주,"31,190",-,99.86%,"6,986,352",-,60.13%,2019-12-31,2019,minority_shareholder
20210329000797,Y,00269940,하나투어,소액주주,"59,843","59,860",99.97%,"8,460,267","13,939,185",60.71%,2020-12-31,2020,minority_shareholder
20220317001007,Y,00269940,하나투어,소액주주,"93,367","93,382",99.99%,"9,133,084","13,939,185",65.53%,2021-12-31,2021,minority_shareholder
20230316001406,Y,00269940,하나투어,소액주주,"95,324","95,333",99.99%,"10,788,042","16,039,185",67.26%,2022-12-31,2022,minority_shareholder
20240321001614,Y,00269940,하나투어,소액주주,"85,403","85,411",99.99%,"10,788,042","10,571,244",65.91%,2023-12-31,2023,minority_shareholder
20250320001129,Y,00269940,하나투어,소액주주,"68,285","68,296",99.98%,"10,118,157","16,039,185",68.78%,2024-12-31,2024,minority_shareholder
20190401001897,Y,00400857,에이블씨엔씨,소액주주,"16,626",-,99.97 %,"8,940,258",-,33.06 %,2018-12-31,2018,minority_shareholder
20200818000229,Y,00400857,에이블씨엔씨,소액주주,"14,430",-,99.96%,"8,618,765",-,31.88%,2019-12-31,2019,minority_shareholder
20210817000623,Y,00400857,에이블씨엔씨,소액주주,"13,396","13,401",99.96%,"8,642,615","27,033,459",31.97%,2020-12-31,2020,minority_shareholder
20220415000633,Y,00400857,에이블씨엔씨,소액주주,"14,155","14,159",99.97%,"9,343,284","27,033,459",34.56%,2021-12-31,2021,minority_shareholder
20230323001542,Y,00400857,에이블씨엔씨,소액주주,"13,702","13,706",99.97%,"9,411,402","27,033,459",34.81%,2022-12-31,2022,minority_shareholder
20240321001776,Y,00400857,에이블씨엔씨,소액주주,"12,734","12,737",99.97%,"9,455,619","26,014,161",36.35%,2023-12-31,2023,minority_shareholder
20250321001828,Y,00400857,에이블씨엔씨,소액주주,"14,238","14,243",99.96%,"9,431,350","26,014,161",36.25%,2024-12-31,2024,minority_shareholder
20190401003518,Y,00191588,삼원강재,소액주주,"3,963",-,99.76%,"8,980,235",-,22.44%,2018-12-31,2018,minority_shareholder
20200330000246,Y,00191588,삼원강재,소액주주,"3,769",-,99.76%,"9,029,711",-,22.59%,2019-12-31,2019,minority_shareholder
20210311000011,Y,00191588,삼원강재,소액주주,"3,605","3,615",99.75%,"9,043,700","40,000,000",22.62%,2020-12-31,2020,minority_shareholder
20220310000009,Y,00191588,삼원강재,소액주주,"6,597","6,604",99.90%,"9,855,700","40,000,000",24.64%,2021-12-31,2021,minority_shareholder
20230314000085,Y,00191588,삼원강재,소액주주,"6,593","6,600",99.90%,"9,855,700","40,000,000",24.64%,2022-12-31,2022,minority_shareholder
20240313001112,Y,00191588,삼원강재,소액주주,"6,452","6,456",99.94%,"9,884,510","40,000,000",24.72%,2023-12-31,2023,minority_shareholder
20250314000520,Y,00191588,삼원강재,소액주주,"5,800","5,804",99.94%,"9,843,510","40,000,000",24.61%,2024-12-31,2024,minority_shareholder
20190401004848,Y,00234412,신세계인터내셔날,소액주주,"6,519",-,99.83%,"2,272,625",-,31.83%,2018-12-31,2018,minority_shareholder
20200330003914,Y,00234412,신세계인터내셔날,소액주주,"8,075",-,99.90%,"2,408,785",-,33.73%,2019-12-31,2019,minority_shareholder
20210315001003,Y,00234412,신세계인터내셔날,소액주주,"24,313","24,321",99.97%,"2,260,091","7,140,000",31.65%,2020-12-31,2020,minority_shareholder
20220315001107,Y,00234412,신세계인터내셔날,소액주주,"30,893","30,899",99.98%,"2,317,532","7,140,000",32.47%,2021-12-31,2021,minority_shareholder
20230314001079,Y,00234412,신세계인터내셔날,소액주주,"30,387","30,394",99.97%,"11,548,578","35,700,000",32.34%,2022-12-31,2022,minority_shareholder
20240312000886,Y,00234412,신세계인터내셔날,소액주주,-,-,-,-,-,-,2023-12-31,2023,minority_shareholder
20250313000018,Y,00234412,신세계인터내셔날,소액주주,-,-,-,-,-,-,2024-12-31,2024,minority_shareholder
20190802000402,Y,00309503,한국항공우주,소액주주,"116,070",-,99.98%,"59,298,793",-,60.83%,2018-12-31,2018,minority_shareholder
20200330003749,Y,00309503,한국항공우주,소액주주,"87,826",-,99.99%,"57,811,733",-,59.31%,2019-12-31,2019,minority_shareholder
20210415000506,Y,00309503,한국항공우주,소액주주,"103,603","103,608",100.00%,"58,631,073","97,475,107",60.16%,2020-12-31,2020,minority_shareholder
20220322000955,Y,00309503,한국항공우주,소액주주,"193,696","193,701",100.00%,"60,842,168","97,475,107",62.43%,2021-12-31,2021,minority_shareholder
20230321001514,Y,00309503,한국항공우주,소액주주,"149,867","149,874",100.00%,"65,524,295","97,475,107",64.16%,2022-12-31,2022,minority_shareholder
20240326000812,Y,00309503,한국항공우주,소액주주,"148,776","148,785",99.99%,"57,928,826","97,475,107",59.45%,2023-12-31,2023,minority_shareholder
20250318001067,Y,00309503,한국항공우주,소액주주,"128,232","128,242",99.99%,"55,253,398","97,475,107",56.68%,2024-12-31,2024,minority_shareholder
20190401002981,Y,00158307,롯데하이마트,소액주주,"5,698",-,99.81%,"6,295,736",-,26.67%,2018-12-31,2018,minority_shareholder
20200330003269,Y,00158307,롯데하이마트,소액주주,"11,418",-,99.91%,"7,042,505",-,29.82%,2019-12-31,2019,minority_shareholder
20210311000926,Y,00158307,롯데하이마트,소액주주,"15,530","15,543",99.93%,"6,890,323","23,607,712",29.20%,2020-12-31,2020,minority_shareholder
20220314000784,Y,00158307,롯데하이마트,소액주주,"26,896","26,908",99.96%,"7,235,972","23,607,712",30.65%,2021-12-31,2021,minority_shareholder
20230314001273,Y,00158307,롯데하이마트,소액주주,"25,134","25,145",99.96%,"7,682,671","23,607,712",32.54%,2022-12-31,2022,minority_shareholder
20240315000917,Y,00158307,롯데하이마트,소액주주,"22,867","22,874",99.97%,"7,683,862","23,607,712",32.55%,2023-12-31,2023,minority_shareholder
20250312001113,Y,00158307,롯데하이마트,소액주주,"20,007","20,016",99.96%,"7,680,843","23,607,712",32.54%,2024-12-31,2024,minority_shareholder
20190401003100,Y,00357360,한세엠케이,소액주주,"2,672",-,99.59%,"3,287,398",-,25.47%,2018-12-31,2018,minority_shareholder
20200330003907,Y,00357360,한세엠케이,소액주주,"3,099",-,99.74%,"3,667,373",-,28.41%,2019-12-31,2019,minority_shareholder
20210317000840,Y,00357360,한세엠케이,소액주주,"2,716","2,724",99.71%,"3,434,048","12,909,322",26.60%,2020-12-31,2020,minority_shareholder
20220321001199,Y,00357360,한세엠케이,소액주주,"4,883","4,892",99.82%,"3,160,703","12,909,322",24.48%,2021-12-31,2021,minority_shareholder
20230407002948,Y,00357360,한세엠케이,소액주주,"4,773","4,781",99.83%,"3,542,725","30,106,502",11.77%,2022-12-31,2022,minority_shareholder
20240321000107,Y,00357360,한세엠케이,소액주주,"4,751","4,758",99.85%,"3,538,775","30,106,502",11.75%,2023-12-31,2023,minority_shareholder
20250318000981,Y,00357360,한세엠케이,소액주주,"4,351","4,359",99.82%,"3,538,775","30,106,502",11.75%,2024-12-31,2024,minority_shareholder
20190401004008,Y,00872984,이마트,소액주주,"25,189",-,99.96%,"15,888,127",-,56.99%,2018-12-31,2018,minority_shareholder
20200330003902,Y,00872984,이마트,소액주주,"41,384",-,99.96%,"15,281,740",-,54.81%,2019-12-31,2019,minority_shareholder
20210316001234,Y,00872984,이마트,소액주주,"90,459","90,469",99.99%,"15,537,947","26,964,179",57.62%,2020-12-31,2020,minority_shareholder
20220816000177,Y,00872984,이마트,소액주주,"127,790","127,798",99.99%,"16,589,540","27,788,355",59.52%,2021-12-31,2021,minority_shareholder
20230321000409,Y,00872984,이마트,소액주주,"138,541","138,549",99.99%,"16,055,633","26,788,355",59.94%,2022-12-31,2022,minority_shareholder
20240320001504,Y,00872984,이마트,소액주주,"133,752","133,763",99.99%,"15,166,687","26,788,353",56.62%,2023-12-31,2023,minority_shareholder
20250318000688,Y,00872984,이마트,소액주주,"121,725","121,734",99.99%,"15,936,228","26,788,353",59.49%,2024-12-31,2024,minority_shareholder
20190401002936,Y,00349097,케이티스카이라이프,소액주주,"9,296",-,99.90%,"16,442,244",-,34.38%,2018-12-31,2018,minority_shareholder
20200330003670,Y,00349097,케이티스카이라이프,소액주주,"9,440",-,99.89%,"17,699,697",-,37.01%,2019-12-31,2019,minority_shareholder
20210323000841,Y,00349097,케이티스카이라이프,소액주주,"11,592","11,598",99.98%,"19,501,259","47,821,966",40.80%,2020-12-31,2020,minority_shareholder
20220930000032,Y,00349097,케이티스카이라이프,소액주주,"14,879","14,884",99.99%,"20,183,849","47,821,966",42.23%,2021-12-31,2021,minority_shareholder
20230323001208,Y,00349097,케이티스카이라이프,소액주주,"15,339","15,346",99.95%,"19,274,877","47,821,966",40.31%,2022-12-31,2022,minority_shareholder
20240320001841,Y,00349097,케이티스카이라이프,소액주주,"16,798","16,805",99.98%,"15,945,879","47,522,955",39.88%,2023-12-31,2023,minority_shareholder
20250318001057,Y,00349097,케이티스카이라이프,소액주주,"14,700","14,707",99.97%,"17,706,325","47,522,955",37.27%,2024-12-31,2024,minority_shareholder
20190401004295,Y,00159500,한국종합기술,소액주주,"7,929",-,99.95%,"5,009,171",-,45.75%,2018-12-31,2018,minority_shareholder
20200330004102,Y,00159500,한국종합기술,소액주주,"6,082",-,99.90%,"5,148,828",-,47.02%,2019-12-31,2019,minority_shareholder
20210318000947,Y,00159500,한국종합기술,소액주주,"4,702","4,711",99.81%,"3,819,541","10,950,000",34.88%,2020-12-31,2020,minority_shareholder
20220317001068,Y,00159500,한국종합기술,소액주주,"8,131","8,139",99.90%,"4,013,501","10,950,000",36.65%,2021-12-31,2021,minority_shareholder
20230316001234,Y,00159500,한국종합기술,소액주주,"10,692","10,699",99.93%,"3,774,705","10,950,000",34.47%,2022-12-31,2022,minority_shareholder
20240320001071,Y,00159500,한국종합기술,소액주주,"9,454","9,461",99.93%,"3,942,203","10,950,000",36.00%,2023-12-31,2023,minority_shareholder
20250318001001,Y,00159500,한국종합기술,소액주주,"8,176","8,183",99.91%,"3,677,579","10,950,000",33.59%,2024-12-31,2024,minority_shareholder
20190329001031,Y,00113997,롯데에너지머티리얼즈,소액주주,"31,842",-,97.42%,"11,479,558",-,24.90%,2018-12-31,2018,minority_shareholder
20210322000707,Y,00113997,롯데에너지머티리얼즈,소액주주,"27,877",-,38.49%,"17,747,867",-,38.49%,2019-12-31,2019,minority_shareholder
20210323001108,Y,00113997,롯데에너지머티리얼즈,소액주주,"67,895","67,901",99.99%,"18,925,060","46,110,835",41.04%,2020-12-31,2020,minority_shareholder
20220318001055,Y,00113997,롯데에너지머티리얼즈,소액주주,"66,006","66,011",99.99%,"19,794,064","46,110,835",42.94%,2021-12-31,2021,minority_shareholder
20230323001050,Y,00113997,롯데에너지머티리얼즈,소액주주,"88,745","88,754",99.99%,"19,788,209","46,110,835",42.92%,2022-12-31,2022,minority_shareholder
20240315000794,Y,00113997,롯데에너지머티리얼즈,소액주주,"88,684","88,695",99.99%,"19,753,515","46,110,835",42.84%,2023-12-31,2023,minority_shareholder
20250314001597,Y,00113997,롯데에너지머티리얼즈,소액주주,"86,301","86,326",99.98%,"19,754,232","46,110,835",42.85%,2024-12-31,2024,minority_shareholder
20190401004312,Y,00106623,현대위아,소액주주,"29,954",-,99.98%,"12,680,380",-,46.66%,2018-12-31,2018,minority_shareholder
20200330003773,Y,00106623,현대위아,소액주주,"24,501",-,99.98%,"13,782,913",-,50.68%,2019-12-31,2019,minority_shareholder
20210316000797,Y,00106623,현대위아,소액주주,"43,605","43,611",99.99%,"12,187,853","27,195,083",44.82%,2020-12-31,2020,minority_shareholder
20220315001247,Y,00106623,현대위아,소액주주,"89,146","89,152",99.99%,"14,302,811","27,195,083",52.59%,2021-12-31,2021,minority_shareholder
20230314000727,Y,00106623,현대위아,소액주주,-,-,-,-,-,-,2022-12-31,2022,minority_shareholder
20240329002076,Y,00106623,현대위아,소액주주,"70,603","70,609",99.99%,"12,506,897","27,195,083",45.99%,2023-12-31,2023,minority_shareholder
20250313000158,Y,00106623,현대위아,소액주주,"71,789","71,795",99.99%,"13,049,942","27,195,083",48.0%,2024-12-31,2024,minority_shareholder
20190327000530,Y,00855093,선진,소액주주,"2,884",-,99.47%,"3,378,237",-,14.20%,2018-12-31,2018,minority_shareholder
20200327001317,Y,00855093,선진,소액주주,"4,266",-,99.70%,"4,855,965",-,20.43%,2019-12-31,2019,minority_shareholder
20210318000635,Y,00855093,선진,소액주주,"5,498","5,506",99.84%,"6,603,391","23,779,604",27.76%,2020-12-31,2020,minority_shareholder
20220321000850,Y,00855093,선진,소액주주,"13,229","13,239",99.29%,"8,365,009","23,779,604",35.18%,2021-12-31,2021,minority_shareholder
20230323000638,Y,00855093,선진,소액주주,"17,014","17,023",99.95%,"8,921,686","23,779,208",37.52%,2022-12-31,2022,minority_shareholder
20240319000764,Y,00855093,선진,소액주주,"14,814","14,823",99.94%,"10,129,038","23,779,208",42.60%,2023-12-31,2023,minority_shareholder
20250318001380,Y,00855093,선진,소액주주,"12,340","12,348",99.94%,"10,159,617","23,779,604",42.72%,2024-12-31,2024,minority_shareholder
20190329001560,Y,00855163,미원화학,소액주주,-,-,-,-,-,-,2018-12-31,2018,minority_shareholder
20200330000199,Y,00855163,미원화학,소액주주,-,-,-,-,-,-,2019-12-31,2019,minority_shareholder
20210305000063,Y,00855163,미원화학,소액주주,-,-,-,-,-,-,2020-12-31,2020,minority_shareholder
20220318000262,Y,00855163,미원화학,소액주주,"1,699","1,734",97.98%,"716,386","2,199,268",32.57%,2021-12-31,2021,minority_shareholder
20230310000296,Y,00855163,미원화학,소액주주,"2,287","2,322",98.49%,"721,609","2,199,268",32.81%,2022-12-31,2022,minority_shareholder
20240311000340,Y,00855163,미원화학,소액주주,"2,089","2,098",99.57%,"708,463","2,199,268",32.21%,2023-12-31,2023,minority_shareholder
20250310000394,Y,00855163,미원화학,소액주주,"1,869","1,878",99.52%,"685,718","2,199,268",31.18%,2024-12-31,2024,minority_shareholder
20190401002608,Y,00852087,시디즈,소액주주,"1,244",-,99.20%,"326,117",-,16.32%,2018-12-31,2018,minority_shareholder
20200330002460,Y,00852087,시디즈,소액주주,"1,263",-,99.37%,"338,872",-,16.94%,2019-12-31,2019,minority_shareholder
20210318001352,Y,00852087,시디즈,소액주주,"3,444","3,451",99.8%,"387,506","2,000,000",19.4%,2020-12-31,2020,minority_shareholder
20220317000781,Y,00852087,시디즈,소액주주,"4,625","4,631",99.87%,"443,699","2,000,000",22.18%,2021-12-31,2021,minority_shareholder
20230316001196,Y,00852087,시디즈,소액주주,"5,669","5,674",99.9%,"464,486","2,000,000",23.2%,2022-12-31,2022,minority_shareholder
20240321001589,Y,00852087,시디즈,소액주주,"4,667","4,671",99.91%,"504,436","2,000,000",25.22%,2023-12-31,2023,minority_shareholder
20250814002709,Y,00852087,시디즈,소액주주,"3,937","3,941",74.8%,"504,436","2,000,000",25.2%,2024-12-31,2024,minority_shareholder
20190829000744,Y,00361008,한화엔진,소액주주,"14,545",-,99.95%,"17,245,023",-,52.34%,2018-12-31,2018,minority_shareholder
20200330004113,Y,00361008,한화엔진,소액주주,"15,697",-,99.97%,"18,034,003",-,54.74%,2019-12-31,2019,minority_shareholder
20210317000571,Y,00361008,한화엔진,소액주주,"35,304","35,309",99.99%,"21,848,473","32,947,142",66.31%,2020-12-31,2020,minority_shareholder
20220316000731,Y,00361008,한화엔진,소액주주,"45,751","45,757",99.99%,"29,621,128","46,721,246",63.40%,2021-12-31,2021,minority_shareholder
20230315001359,Y,00361008,한화엔진,소액주주,"41,335","41,340",99.99%,"46,711,278","71,522,387",65.31%,2022-12-31,2022,minority_shareholder
20240320000730,Y,00361008,한화엔진,소액주주,"38,701","38,708",99.98%,"44,530,170","71,522,387",62.24%,2023-12-31,2023,minority_shareholder
20250813000469,Y,00361008,한화엔진,소액주주,"42,040","42,048",99.98%,"40,185,126","83,425,535",48.17%,2024-12-31,2024,minority_shareholder
20190329000882,Y,00787376,대성에너지,소액주주,"4,526",-,99.93%,"7,039,293",-,25.60%,2018-12-31,2018,minority_shareholder
20200330002981,Y,00787376,대성에너지,소액주주,"4,395",-,99.93%,"7,048,293",-,25.63%,2019-12-31,2019,minority_shareholder
20210319001077,Y,00787376,대성에너지,소액주주,"4,834","4,837",99.94%,"7,291,707","27,500,000",26.51%,2020-12-31,2020,minority_shareholder
20220318000681,Y,00787376,대성에너지,소액주주,"18,635","18,639",99.98%,"6,725,639","27,500,000",24.45%,2021-12-31,2021,minority_shareholder
20230321000870,Y,00787376,대성에너지,소액주주,"28,948","28,952",99.99%,"6,798,907","27,500,000",24.72%,2022-12-31,2022,minority_shareholder
20240312000816,Y,00787376,대성에너지,소액주주,"25,866","25,870",99.98%,"6,824,221","27,500,000",24.82%,2023-12-31,2023,minority_shareholder
20250320001296,Y,00787376,대성에너지,소액주주,"23,680","23,683",99.99%,"7,194,546","27,500,000",26.16%,2024-12-31,2024,minority_shareholder
20190401005015,Y,00403632,현대퓨처넷,소액주주,"3,283",-,99.53%,"18,820,858",-,16.67%,2018-12-31,2018,minority_shareholder
20200327001318,Y,00403632,현대퓨처넷,소액주주,"5,020",-,99.69%,"18,364,907",-,16.26%,2019-12-31,2019,minority_shareholder
20210317001268,Y,00403632,현대퓨처넷,소액주주,"8,789","8,802",99.84%,"22,085,395","112,876,596",19.55%,2020-12-31,2020,minority_shareholder
20220315001210,Y,00403632,현대퓨처넷,소액주주,"14,897","14,909",99.91%,"24,379,735","112,876,596",21.58%,2021-12-31,2021,minority_shareholder
20230313000866,Y,00403632,현대퓨처넷,소액주주,"15,404","15,413",99.93%,"27,002,118","110,202,945",24.49%,2022-12-31,2022,minority_shareholder
20240313001154,Y,00403632,현대퓨처넷,소액주주,"11,401","11,408",99.93%,"22,157,929","110,202,945",20.11%,2023-12-31,2023,minority_shareholder
20250829001372,Y,00403632,현대퓨처넷,소액주주,"8,812","8,817",99.94%,"20,447,513","110,202,945",18.55%,2024-12-31,2024,minority_shareholder
20190401004709,Y,00372873,KTis,소액주주,"16,528",-,99.97%,"23,045,085",-,66.22%,2018-12-31,2018,minority_shareholder
20200330002874,Y,00372873,KTis,소액주주,"16,207",-,99.95%,"22,662,022",-,65.11%,2019-12-31,2019,minority_shareholder
20210322000910,Y,00372873,KTis,소액주주,"15,483","15,490",99.95%,"22,171,849","34,802,000",63.71%,2020-12-31,2020,minority_shareholder
20220321001238,Y,00372873,KTis,소액주주,"17,826","17,833",99.96%,"21,522,549","34,802,000",61.84%,2021-12-31,2021,minority_shareholder
20230323000613,Y,00372873,KTis,소액주주,"17,344","17,351",99.96%,"20,039,275","34,802,000",57.58%,2022-12-31,2022,minority_shareholder
20240320000449,Y,00372873,KTis,소액주주,"19,548","19,553",99.99%,"19,650,125","34,802,000",56.48%,2023-12-31,2023,minority_shareholder
20250318000822,Y,00372873,KTis,소액주주,"17,628","17,631",99.98%,"20,423,242","34,802,000",58.68%,2024-12-31,2024,minority_shareholder
20190401002446,Y,00194947,한전산업,소액주주,"8,524",-,99.97%,"13,040,000",-,39.99%,2018-12-31,2018,minority_shareholder
20200604000353,Y,00194947,한전산업,소액주주,"8,127",-,99.98%,"13,040,000",-,40%,2019-12-31,2019,minority_shareholder
20210323001114,Y,00194947,한전산업,소액주주,"12,018","12,020",99.98%,"13,040,000","32,600,000",40%,2020-12-31,2020,minority_shareholder
20220323001234,Y,00194947,한전산업,소액주주,"34,603","34,606",99.99%,"12,208,394","32,600,000",37.45%,2021-12-31,2021,minority_shareholder
20230323001346,Y,00194947,한전산업,소액주주,"32,564","32,567",99.99%,"12,512,925","32,600,000",38.39%,2022-12-31,2022,minority_shareholder
20240321001344,Y,00194947,한전산업,소액주주,"29,174","29,176",99.99%,"13,040,000","32,600,000",40%,2023-12-31,2023,minority_shareholder
20250320001416,Y,00194947,한전산업,소액주주,"33,210","33,213",99.99%,"12,697,797","32,600,000",38.95%,2024-12-31,2024,minority_shareholder
20190426000540,Y,00838500,엘브이엠씨,소액주주,"11,518",-,99.93%,"24,977,959",-,52.18%,2018-12-31,2018,minority_shareholder
20200429001118,Y,00838500,엘브이엠씨,소액주주,"9,904",-,"99,92%","26,690,460",-,52.22%,2019-12-31,2019,minority_shareholder
20210426000381,Y,00838500,엘브이엠씨,소액주주,"17,249","17,258",99.96%,"49,897,168","84,348,589",59.16%,2020-12-31,2020,minority_shareholder
20220426000496,Y,00838500,엘브이엠씨,소액주주,"20,399","20,408",99.97%,"50,535,168","99,455,297",50.82%,2021-12-31,2021,minority_shareholder
20230426000644,Y,00838500,엘브이엠씨,소액주주,"19,481","19,490",99.97%,"50,535,168","99,455,297",50.52%,2022-12-31,2022,minority_shareholder
20240426000698,Y,00838500,엘브이엠씨,소액주주,"23,382","23,389",99.98%,"100,607,158","171,588,411",58.64%,2023-12-31,2023,minority_shareholder
20250425000879,Y,00838500,엘브이엠씨,소액주주,"22,216","22,224",99.97%,"102,487,894","171,588,411",59.73%,2024-12-31,2024,minority_shareholder
20190614000418,Y,00195229,미스토홀딩스,소액주주,"11,620",-,99.87%,"34,986,989",-,57.25%,2018-12-31,2018,minority_shareholder
20200327001877,Y,00195229,미스토홀딩스,소액주주,"28,734",-,99.95%,"35,175,479",-,57.54%,2019-12-31,2019,minority_shareholder
20210319000773,Y,00195229,미스토홀딩스,소액주주,"41,530","41,544",99.97%,"36,466,451","60,752,222",60.03%,2020-12-31,2020,minority_shareholder
20220812000706,Y,00195229,미스토홀딩스,소액주주,"72,814","72,827",99.99%,"38,322,664","60,752,222",63.09%,2021-12-31,2021,minority_shareholder
20230321000775,Y,00195229,미스토홀딩스,소액주주,"59,830","59,850",99.97%,"29,610,899","60,752,222",48.75%,2022-12-31,2022,minority_shareholder
20240320000962,Y,00195229,미스토홀딩스,소액주주,"35,972","35,991",99.96%,"28,109,816","60,752,222",46.29%,2023-12-31,2023,minority_shareholder
20250321001837,Y,00195229,미스토홀딩스,소액주주,"25,487","25,506",99.93%,"25,161,297","60,095,839",41.87%,2024-12-31,2024,minority_shareholder
20190404001342,Y,00372882,KTcs,소액주주,"16,668",-,99.93%,"26,700,248",-,62.54%,2018-12-31,2018,minority_shareholder
20200330002231,Y,00372882,KTcs,소액주주,"16,719",-,99.96%,"28,393,261",-,66.52%,2019-12-31,2019,minority_shareholder
20210409000489,Y,00372882,KTcs,소액주주,"16,474","16,485",99.95%,"25,563,324","42,685,000",59.90%,2020-12-31,2020,minority_shareholder
20220321001408,Y,00372882,KTcs,소액주주,"20,659","20,666",99.96%,"26,746,856","42,685,000",62.68%,2021-12-31,2021,minority_shareholder
20230322000776,Y,00372882,KTcs,소액주주,"19,320","19,327",99.96%,"25,000,769","42,685,000",58.57%,2022-12-31,2022,minority_shareholder
20240320000896,Y,00372882,KTcs,소액주주,"26,511","26,517",99.97%,"22,636,696","42,685,000",53.03%,2023-12-31,2023,minority_shareholder
20250320001127,Y,00372882,KTcs,소액주주,"23,791","23,798",99.99%,"24,291,653","42,685,000",56.92%,2024-12-31,2024,minority_shareholder
20190401003020,Y,00412597,현대홈쇼핑,소액주주,"5,180",-,99.04%,"3,977,536",-,33.15%,2018-12-31,2018,minority_shareholder
20210817002260,Y,00412597,현대홈쇼핑,소액주주,"5,567",-,99.34%,"3,797,598",-,31.65%,2019-12-31,2019,minority_shareholder
20210818000207,Y,00412597,현대홈쇼핑,소액주주,"9,402","9,433",99.67%,"3,585,800","11,447,000",31.33%,2020-12-31,2020,minority_shareholder
20220324000867,Y,00412597,현대홈쇼핑,소액주주,"11,695","11,728",99.72%,"3,769,057","12,000,000",31.41%,2021-12-31,2021,minority_shareholder
20230315001376,Y,00412597,현대홈쇼핑,소액주주,"11,929","11,941",99.90%,"3,868,334","12,000,000",32.24%,2022-12-31,2022,minority_shareholder
20240315000790,Y,00412597,현대홈쇼핑,소액주주,"11,854","11,868",99.88%,"3,675,414","12,000,000",30.63%,2023-12-31,2023,minority_shareholder
