model,variable,coef,std_err,t_or_z,p_value,nobs,stars,coef_stars,std_err_fmt
M8_log_count_controls,ROA_w,-0.28476021314939187,0.12587300469278725,-2.2622818438663135,0.023679995449210085,4575.0,**,-0.2848**,(0.1259)
M8_log_count_controls,Loss,0.03328037676741244,0.019240810576703408,1.7296764413713426,0.0836881000908909,4575.0,*,0.0333*,(0.0192)
M9_log_count_governance,LogAssets_w,0.030268825176024514,0.007172455276235197,4.220148332791354,2.4414162571763594e-05,3193.0,***,0.0303***,(0.0072)
M9_log_count_governance,Leverage_w,0.007811264322070327,0.04860255988014257,0.16071713797243334,0.8723161907576826,3193.0,,0.0078,(0.0486)
M9_log_count_governance,ROA_w,-0.3410656192208984,0.15028482713123303,-2.269461433542257,0.023240279962238524,3193.0,**,-0.3411**,(0.1503)
M9_log_count_governance,Loss,0.038014515782918784,0.024636539454541292,1.5430136141101387,0.12282747275607539,3193.0,,0.0380,(0.0246)
M9_log_count_governance,OutsideDirectorRatio_w,0.045852165795929656,0.057626407208358724,0.7956797589366076,0.42621819458612664,3193.0,,0.0459,(0.0576)
M9_log_count_governance,LargestShareholderOwnership_w,-0.002128061496447605,0.0005513870861252876,-3.8594692367605816,0.00011363356019204656,3193.0,***,-0.0021***,(0.0006)
M9_log_count_governance,LogMinorityShareholderCount_w,-0.012306289631198307,0.008971087186522753,-1.3717723811319125,0.1701343076838272,3193.0,,-0.0123,(0.0090)
M10_log_count_auditor_basic,LogAssets_w,0.029999610250928954,0.007490560865157574,4.004988517011118,6.202049386199694e-05,3192.0,***,0.0300***,(0.0075)
M10_log_count_auditor_basic,Leverage_w,0.007869934475686867,0.04862551745362213,0.16184782985997062,0.8714256867618914,3192.0,,0.0079,(0.0486)
M10_log_count_auditor_basic,ROA_w,-0.34180905367450465,0.14982895817478847,-2.281328374957762,0.022529022871662696,3192.0,**,-0.3418**,(0.1498)
M10_log_count_auditor_basic,Loss,0.0376736728215314,0.02468628066507792,1.526097565390881,0.12698556831738997,3192.0,,0.0377,(0.0247)
M10_log_count_auditor_basic,OutsideDirectorRatio_w,0.0458370062395355,0.05765519564396257,0.7950195247379301,0.42660214473858493,3192.0,,0.0458,(0.0577)
M10_log_count_auditor_basic,LargestShareholderOwnership_w,-0.002135152657527255,0.0005538003150126231,-3.855455837865652,0.00011551418321172875,3192.0,***,-0.0021***,(0.0006)
M10_log_count_auditor_basic,LogMinorityShareholderCount_w,-0.012313810103721646,0.009074105409696696,-1.3570274476383053,0.17477248941360157,3192.0,,-0.0123,(0.0091)
M10_log_count_auditor_basic,Big4Auditor,0.0013228316166436997,0.015847345677176206,0.08347338687442649,0.9334751377228716,3192.0,,0.0013,(0.0158)
M10_log_count_auditor_basic,CleanOpinion,-0.002892960315082325,0.025493383005969136,-0.11347887074873327,0.9096509135656116,3192.0,,-0.0029,(0.0255)
LAG1_correction_lagged_governance,LogAssets_w_lag1,0.044895305794339924,0.009383803963060159,4.784339695402064,1.7155034591146718e-06,2536.0,***,0.0449***,(0.0094)
LAG1_correction_lagged_governance,Leverage_w_lag1,-0.036835296597229436,0.05777624030870774,-0.6375509448245944,0.52376603708101,2536.0,,-0.0368,(0.0578)
LAG1_correction_lagged_governance,ROA_w_lag1,-0.25081059520941973,0.17985985696898868,-1.3944778976037122,0.1631733393364636,2536.0,,-0.2508,(0.1799)
LAG1_correction_lagged_governance,Loss_lag1,0.04583432381182642,0.02950992416913666,1.5531833816015985,0.12037933035375703,2536.0,,0.0458,(0.0295)
LAG1_correction_lagged_governance,OutsideDirectorRatio_w_lag1,0.0793196746090673,0.07788131010000171,1.0184686737706221,0.3084552806988673,2536.0,,0.0793,(0.0779)
LAG1_correction_lagged_governance,LargestShareholderOwnership_w_lag1,-0.0022322981949192454,0.0006673023195042384,-3.345257658594227,0.0008220616365529823,2536.0,***,-0.0022***,(0.0007)
LAG1_correction_lagged_governance,LogMinorityShareholderCount_w_lag1,-0.021565121014337274,0.011249359784769961,-1.9170087388913803,0.05523682145038981,2536.0,*,-0.0216*,(0.0112)
LAG2_material_lagged_governance,LogAssets_w_lag1,0.04446169201710506,0.008779106548771457,5.064489395373268,4.094964309178258e-07,2536.0,***,0.0445***,(0.0088)
LAG2_material_lagged_governance,Leverage_w_lag1,-0.07522829583513582,0.05068985780559567,-1.484089699435522,0.1377851255174808,2536.0,,-0.0752,(0.0507)
LAG2_material_lagged_governance,ROA_w_lag1,-0.3940795223297606,0.16440691321974915,-2.3969765906560574,0.016530979796916163,2536.0,**,-0.3941**,(0.1644)
LAG2_material_lagged_governance,Loss_lag1,0.007040129395825295,0.026827878388700592,0.2624184176558094,0.7929988748504112,2536.0,,0.0070,(0.0268)
LAG2_material_lagged_governance,OutsideDirectorRatio_w_lag1,0.10189851186403023,0.068504582341067,1.4874700112279102,0.136890717949835,2536.0,,0.1019,(0.0685)
LAG2_material_lagged_governance,LargestShareholderOwnership_w_lag1,-0.0025698292349407396,0.0006160865877429976,-4.171214381334255,3.029806487710452e-05,2536.0,***,-0.0026***,(0.0006)
LAG2_material_lagged_governance,LogMinorityShareholderCount_w_lag1,-0.026696029444494097,0.01036345374189831,-2.5759780580256724,0.009995698921065943,2536.0,***,-0.0267***,(0.0104)
