corp_code,stock_code,corp_name,market,sector,fiscal_year
00366438,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2023
00366438,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2024
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2018
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2019
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2020
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2021
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2022
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2023
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2024
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2018
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2019
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2020
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2021
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2022
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2023
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2024
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2018
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2019
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2020
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2021
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2022
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2023
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2024
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2018
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2019
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2020
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2021
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2022
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2023
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2024
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2018
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2019
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2020
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2021
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2022
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2023
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2024
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2018
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2019
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2020
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2021
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2022
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2023
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2024
00155212,022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2018
00155212,022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2019
00155212,022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2020
00155212,022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2021
00155212,022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2022
00155212,022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2023
00155212,022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2024
00108612,017860,DS단석,KOSPI,기타 화학제품 제조업,2018
00108612,017860,DS단석,KOSPI,기타 화학제품 제조업,2019
00108612,017860,DS단석,KOSPI,기타 화학제품 제조업,2020
00108612,017860,DS단석,KOSPI,기타 화학제품 제조업,2021
00108612,017860,DS단석,KOSPI,기타 화학제품 제조업,2022
00108612,017860,DS단석,KOSPI,기타 화학제품 제조업,2023
00108612,017860,DS단석,KOSPI,기타 화학제품 제조업,2024
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2018
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2019
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2020
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2021
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2022
