corp_code,stock_code,corp_name,market,sector,fiscal_year,CorrectionCount,FirstCorrectionDate,LastCorrectionDate,CorrectionDummy,LogCorrectionCount,MaterialCorrectionCount,MaterialKeywordHits,MaterialCorrectionDummy
00968607,475560,더본코리아,KOSPI,상품 종합 도매업,2019,0,,,0,0.0,0,0,0
00968607,475560,더본코리아,KOSPI,상품 종합 도매업,2020,0,,,0,0.0,0,0,0
00968607,475560,더본코리아,KOSPI,상품 종합 도매업,2021,0,,,0,0.0,0,0,0
00968607,475560,더본코리아,KOSPI,상품 종합 도매업,2022,0,,,0,0.0,0,0,0
00968607,475560,더본코리아,KOSPI,상품 종합 도매업,2023,0,,,0,0.0,0,0,0
00968607,475560,더본코리아,KOSPI,상품 종합 도매업,2024,0,,,0,0.0,0,0,0
01867758,489790,한화비전,KOSPI,통신 및 방송 장비 제조업,2018,0,,,0,0.0,0,0,0
01867758,489790,한화비전,KOSPI,통신 및 방송 장비 제조업,2019,0,,,0,0.0,0,0,0
01867758,489790,한화비전,KOSPI,통신 및 방송 장비 제조업,2020,0,,,0,0.0,0,0,0
01867758,489790,한화비전,KOSPI,통신 및 방송 장비 제조업,2021,0,,,0,0.0,0,0,0
01867758,489790,한화비전,KOSPI,통신 및 방송 장비 제조업,2022,0,,,0,0.0,0,0,0
01867758,489790,한화비전,KOSPI,통신 및 방송 장비 제조업,2023,0,,,0,0.0,0,0,0
01867758,489790,한화비전,KOSPI,통신 및 방송 장비 제조업,2024,0,,,0,0.0,0,0,0
00372129,079900,전진건설로봇,KOSPI,특수 목적용 기계 제조업,2018,0,,,0,0.0,0,0,0
00372129,079900,전진건설로봇,KOSPI,특수 목적용 기계 제조업,2019,0,,,0,0.0,0,0,0
00372129,079900,전진건설로봇,KOSPI,특수 목적용 기계 제조업,2020,0,,,0,0.0,0,0,0
00372129,079900,전진건설로봇,KOSPI,특수 목적용 기계 제조업,2021,0,,,0,0.0,0,0,0
00372129,079900,전진건설로봇,KOSPI,특수 목적용 기계 제조업,2022,0,,,0,0.0,0,0,0
00372129,079900,전진건설로봇,KOSPI,특수 목적용 기계 제조업,2023,0,,,0,0.0,0,0,0
00372129,079900,전진건설로봇,KOSPI,특수 목적용 기계 제조업,2024,0,,,0,0.0,0,0,0
00366438,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018,0,,,0,0.0,0,0,0
00366438,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2019,0,,,0,0.0,0,0,0
00366438,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2020,0,,,0,0.0,0,0,0
00366438,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2021,0,,,0,0.0,0,0,0
00366438,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2022,0,,,0,0.0,0,0,0
00366438,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2023,0,,,0,0.0,0,0,0
00366438,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2024,1,20250328,20250328,1,0.6931471805599453,1,29,1
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2018,0,,,0,0.0,0,0,0
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2019,0,,,0,0.0,0,0,0
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2020,0,,,0,0.0,0,0,0
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2021,0,,,0,0.0,0,0,0
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2022,0,,,0,0.0,0,0,0
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2023,0,,,0,0.0,0,0,0
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2024,0,,,0,0.0,0,0,0
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2018,0,,,0,0.0,0,0,0
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2019,0,,,0,0.0,0,0,0
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2020,1,20210419,20210419,1,0.6931471805599453,0,0,0
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2021,0,,,0,0.0,0,0,0
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2022,0,,,0,0.0,0,0,0
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2023,0,,,0,0.0,0,0,0
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2024,3,20250326,20250415,1,1.3862943611198906,2,58,1
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2018,0,,,0,0.0,0,0,0
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2019,0,,,0,0.0,0,0,0
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2020,0,,,0,0.0,0,0,0
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2021,0,,,0,0.0,0,0,0
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2022,0,,,0,0.0,0,0,0
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2023,0,,,0,0.0,0,0,0
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2024,2,20250509,20250509,1,1.0986122886681098,2,58,1
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2018,0,,,0,0.0,0,0,0
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2019,0,,,0,0.0,0,0,0
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2020,0,,,0,0.0,0,0,0
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2021,0,,,0,0.0,0,0,0
