model,variable,coef,std_err,t_or_z,p_value,nobs,stars,coef_stars,std_err_fmt
M1_controls,C(sector)[T.기타 전기장비 제조업],-0.2089569994218844,0.053225830061979895,-3.9258570355513513,8.642147621576113e-05,4575.0,***,-0.2090***,(0.0532)
M1_controls,C(sector)[T.기타 전문 도매업],0.03978293023880287,0.06685285253327719,0.5950820156701647,0.5517886495053417,4575.0,,0.0398,(0.0669)
M1_controls,C(sector)[T.기타 정보 서비스업],-0.08727673511103984,0.09016994626771298,-0.9679137974854366,0.3330874229501386,4575.0,,-0.0873,(0.0902)
M1_controls,C(sector)[T.기타 종이 및 판지 제품 제조업],-0.004538160797793541,0.05339482166826326,-0.08499252654103209,0.9322673321678329,4575.0,,-0.0045,(0.0534)
M1_controls,C(sector)[T.기타 화학제품 제조업],-0.03975505376113811,0.057798829190453906,-0.6878176308751957,0.49156763196987385,4575.0,,-0.0398,(0.0578)
M1_controls,C(sector)[T.나무제품 제조업],-0.21347292045318522,0.051265323269059616,-4.164080256215286,3.126101484588275e-05,4575.0,***,-0.2135***,(0.0513)
M1_controls,"C(sector)[T.내화, 비내화 요업제품 제조업]",0.08658710279787174,0.06739445220680808,1.2847808678994628,0.1988688698302743,4575.0,,0.0866,(0.0674)
M1_controls,C(sector)[T.담배 제조업],0.029254966629873515,0.053582478211781234,0.5459800965951066,0.5850796187409747,4575.0,,0.0293,(0.0536)
M1_controls,C(sector)[T.도로 화물 운송업],0.1029714575719166,0.06333925980480874,1.6257129920564521,0.10401072494081168,4575.0,,0.1030,(0.0633)
M1_controls,"C(sector)[T.도축, 육류 가공 및 저장 처리업]",0.04652754299609247,0.052753510278535365,0.8819800379241085,0.37778760234149356,4575.0,,0.0465,(0.0528)
M1_controls,C(sector)[T.동·식물성 유지 및 낙농제품 제조업],-0.004748520858800426,0.06483982944023772,-0.07323462908206897,0.9416194103396434,4575.0,,-0.0047,(0.0648)
M1_controls,C(sector)[T.동물용 사료 및 조제식품 제조업],-0.22668338401282145,0.05191385643958663,-4.3665294693839245,1.2623626304409616e-05,4575.0,***,-0.2267***,(0.0519)
M1_controls,"C(sector)[T.떡, 빵 및 과자류 제조업]",0.10274735537665866,0.051728901313669674,1.9862659512837373,0.04700380120477374,4575.0,**,0.1027**,(0.0517)
M1_controls,C(sector)[T.무기 및 총포탄 제조업],0.12469667406459171,0.24637953038366134,0.506116209696538,0.6127750718360038,4575.0,,0.1247,(0.2464)
M1_controls,C(sector)[T.무점포 소매업],0.19452510801615935,0.051731348410595374,3.7602945601224196,0.00016971340179967637,4575.0,***,0.1945***,(0.0517)
M1_controls,C(sector)[T.반도체 제조업],0.03685424128923044,0.06932965480704947,0.5315797603752541,0.5950170857921835,4575.0,,0.0369,(0.0693)
M1_controls,C(sector)[T.방적 및 가공사 제조업],0.29235610690028907,0.07140213738648761,4.094500775485407,4.230789978495057e-05,4575.0,***,0.2924***,(0.0714)
M1_controls,C(sector)[T.봉제의복 제조업],0.024685652040815596,0.07190356286054692,0.343316117571143,0.7313606567932706,4575.0,,0.0247,(0.0719)
M1_controls,"C(sector)[T.비료, 농약 및 살균, 살충제 제조업]",-0.09740825393195962,0.05934044164760101,-1.641515486359674,0.10069045507900376,4575.0,,-0.0974,(0.0593)
M1_controls,C(sector)[T.비알코올음료 및 얼음 제조업],0.010078610564800727,0.05137376435128074,0.1961820530784108,0.8444676746768452,4575.0,,0.0101,(0.0514)
M1_controls,C(sector)[T.산업용 기계 및 장비 임대업],0.32261971156645747,0.05264717231826797,6.127958964559852,8.901353461273555e-10,4575.0,***,0.3226***,(0.0526)
