corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,fiscal_year,filing_year
00139834,LG씨엔에스,064400,Y,분기보고서 (2023.09),20231114002227,LG씨엔에스,20231114,,2022,2023
00139834,LG씨엔에스,064400,Y,반기보고서 (2023.06),20230814002337,LG씨엔에스,20230814,,2022,2023
00139834,LG씨엔에스,064400,Y,분기보고서 (2023.03),20230515002177,LG씨엔에스,20230515,,2022,2023
00139834,LG씨엔에스,064400,Y,사업보고서 (2022.12),20230331004072,LG씨엔에스,20230331,연,2022,2023
00139834,LG씨엔에스,064400,Y,분기보고서 (2024.09),20241114001850,LG씨엔에스,20241114,,2023,2024
00139834,LG씨엔에스,064400,Y,반기보고서 (2024.06),20240814003849,LG씨엔에스,20240814,,2023,2024
00139834,LG씨엔에스,064400,Y,분기보고서 (2024.03),20240516001636,LG씨엔에스,20240516,,2023,2024
00139834,LG씨엔에스,064400,Y,사업보고서 (2023.12),20240401003467,LG씨엔에스,20240401,연,2023,2024
00139834,LG씨엔에스,064400,Y,분기보고서 (2025.09),20251114001161,LG씨엔에스,20251114,,2024,2025
00139834,LG씨엔에스,064400,Y,반기보고서 (2025.06),20250814001930,LG씨엔에스,20250814,,2024,2025
00139834,LG씨엔에스,064400,Y,분기보고서 (2025.03),20250515000192,LG씨엔에스,20250515,,2024,2025
00139834,LG씨엔에스,064400,Y,사업보고서 (2024.12),20250311001270,LG씨엔에스,20250311,연,2024,2025
01519790,엠앤씨솔루션,484870,Y,분기보고서 (2025.09),20251114000045,엠앤씨솔루션,20251114,,2024,2025
01519790,엠앤씨솔루션,484870,Y,반기보고서 (2025.06),20250814001598,엠앤씨솔루션,20250814,,2024,2025
01519790,엠앤씨솔루션,484870,Y,분기보고서 (2025.03),20250515000111,엠앤씨솔루션,20250515,,2024,2025
01519790,엠앤씨솔루션,484870,Y,사업보고서 (2024.12),20250319000653,엠앤씨솔루션,20250319,,2024,2025
00968607,더본코리아,475560,Y,분기보고서 (2025.09),20251114002669,더본코리아,20251114,,2024,2025
00968607,더본코리아,475560,Y,반기보고서 (2025.06),20250814002902,더본코리아,20250814,,2024,2025
00968607,더본코리아,475560,Y,분기보고서 (2025.03),20250514001027,더본코리아,20250514,,2024,2025
00968607,더본코리아,475560,Y,사업보고서 (2024.12),20250320000574,더본코리아,20250320,연,2024,2025
01867758,한화비전,489790,Y,분기보고서 (2024.09),20241114002106,한화비전,20241114,,2023,2024
01867758,한화비전,489790,Y,분기보고서 (2025.09),20251113000398,한화비전,20251113,,2024,2025
01867758,한화비전,489790,Y,반기보고서 (2025.06),20250813000952,한화비전,20250813,,2024,2025
01867758,한화비전,489790,Y,분기보고서 (2025.03),20250514000800,한화비전,20250514,,2024,2025
01867758,한화비전,489790,Y,사업보고서 (2024.12),20250317000812,한화비전,20250317,연,2024,2025
