fiscal_year,n_firm_years,n_firms,correction_rate,avg_correction_count,avg_log_correction_count,material_rate
2018,692,692,0.18786127167630057,0.27601156069364163,0.1563022310702971,0.0
2019,692,692,0.12572254335260116,0.1907514450867052,0.10714474032756738,0.001445086705202312
2020,692,692,0.23410404624277456,0.3583815028901734,0.20253496025886977,0.001445086705202312
2021,692,692,0.2630057803468208,0.3554913294797688,0.2123563407786818,0.10982658959537572
2022,692,692,0.17052023121387283,0.23699421965317918,0.13668891230351257,0.16618497109826588
2023,692,692,0.22687861271676302,0.3078034682080925,0.18400093712780216,0.21676300578034682
2024,692,692,0.3092485549132948,0.41184971098265893,0.2524374280890959,0.2991329479768786
