stock_code,corp_name,market,market_raw,sector,main_products,listing_date,fiscal_month,region,is_financial_narrow,is_financial_conservative,exclude_reason,is_standard_stock_code
251970,펌텍코리아,KOSDAQ,코스닥,플라스틱제품 제조업,화장품 용기,2019-07-04,12월,인천광역시,False,False,,True
312610,에이에프더블류,KOSDAQ,코스닥,1차 비철금속 제조업,음극마찰용접단자,2019-07-01,12월,대구광역시,False,False,,True
323280,태성,KOSDAQ,코스닥,특수 목적용 기계 제조업,PCB 자동화 설비,2019-06-24,12월,경기도,False,False,,True
293780,압타바이오,KOSDAQ,코스닥,자연과학 및 공학 연구개발업,"용역매출, 유전자전달체, 압타머연구용시약",2019-06-12,12월,경기도,False,False,,True
308100,형지글로벌,KOSDAQ,코스닥,"섬유, 의복, 신발 및 가죽제품 소매업",골프의류 및 골프잡화,2019-06-10,12월,인천광역시,False,False,,True
305090,마이크로디지탈,KOSDAQ,코스닥,의료용 기기 제조업,"바이오 분석 시스템, 메디칼 자동화 시스템",2019-06-05,12월,경기도,False,False,,True
322780,코퍼스코리아,KOSDAQ,코스닥,"영화, 비디오물, 방송프로그램 제작 및 배급업",콘텐츠 배급 및 제작,2019-05-31,12월,서울특별시,False,False,,True
321260,프로이천,KOSDAQ,코스닥,반도체 제조업,반도체검사장치 Probe Card,2019-05-31,12월,경기도,False,False,,True
003670,포스코퓨처엠,KOSPI,유가,일차전지 및 이차전지 제조업,"내화물, 생석회, 음극재 및 양극재",2019-05-29,12월,경상북도,False,False,,True
253840,수젠텍,KOSDAQ,코스닥,의료용품 및 기타 의약 관련제품 제조업,체외진단 기기 및 시약,2019-05-28,12월,대전광역시,False,False,,True
307930,컴퍼니케이,KOSDAQ,코스닥,기타 금융업,중소 벤처기업 투자,2019-05-23,12월,서울특별시,True,True,금융,True
319660,피에스케이,KOSDAQ,코스닥,특수 목적용 기계 제조업,"드라이스트립, 드라이클리닝",2019-05-10,12월,경기도,False,False,,True
319400,현대무벡스,KOSDAQ,코스닥,일반 목적용 기계 제조업,"물류자동화, IT서비스",2019-05-08,12월,서울특별시,False,False,,True
317240,TS트릴리온,KOSDAQ,코스닥,기타 화학제품 제조업,기업인수합병,2019-04-29,12월,서울특별시,False,False,,True
279060,이노벡스,KONEX,코넥스,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","2차전지활성화공정장비, TAS(지하철터널내영상광고장치), WING TV(회전식 LED바를 이용한 영상광고장치)",2019-04-12,12월,경기도,False,False,,True
125210,아모그린텍,KOSDAQ,코스닥,전자부품 제조업,비정질 및 나노결정립을 이용한 자성부품 및 전류센서,2019-03-29,12월,경기도,False,False,,True
307950,현대오토에버,KOSPI,유가,소프트웨어 개발 및 공급업,"차량SW, 내비게이션, 스마트팩토리, AI·클라우드 기반 솔루션, 디지털 전환 컨설팅 및 IT서비스",2019-03-28,12월,서울특별시,False,False,,True
228760,지노믹트리,KOSDAQ,코스닥,자연과학 및 공학 연구개발업,암 조기진단 제품,2019-03-27,12월,대전광역시,False,False,,True
099750,이지케어텍,KOSDAQ,코스닥,소프트웨어 개발 및 공급업,의료정보시스템,2019-03-22,03월,서울특별시,False,False,,True
100790,미래에셋벤처투자,KOSDAQ,코스닥,기타 금융업,중소기업 창업투자 관련 고유계정/투자조합 관련 수익,2019-03-15,12월,경기도,True,True,금융,True
192650,드림텍,KOSPI,유가,전자부품 제조업,"모바일 PBA, 지문인식 모듈, 전장 LED 모듈 등",2019-03-14,12월,경기도,False,False,,True
192080,더블유게임즈,KOSPI,유가,소프트웨어 개발 및 공급업,모바일게임,2019-03-12,12월,서울특별시,False,False,,True
247540,에코프로비엠,KOSDAQ,코스닥,일차전지 및 이차전지 제조업,양극활물질,2019-03-05,12월,충청북도,False,False,,True
299660,셀리드,KOSDAQ,코스닥,자연과학 및 공학 연구개발업,항암면역치료백신,2019-02-20,12월,서울특별시,False,False,,True
316140,우리금융지주,KOSPI,유가,기타 금융업,금융지주,2019-02-13,12월,서울특별시,True,True,금융,True
278280,천보,KOSDAQ,코스닥,기초 화학물질 제조업,"디스플레이 소재, 반도체 공정 소재, 2차전지 소재, 의약품 소재, 정밀화학 소재",2019-02-11,12월,충청북도,False,False,,True
246960,SCL사이언스,KOSDAQ,코스닥,의료용품 및 기타 의약 관련제품 제조업,"의료용지혈제, 밀폐제 및 접착제",2019-02-01,12월,서울특별시,False,False,,True
104620,노랑풍선,KOSDAQ,코스닥,여행사 및 기타 여행보조 서비스업,"국내외여행 알선, 항공권 판매",2019-01-30,12월,서울특별시,False,False,,True
053580,웹케시,KOSDAQ,코스닥,소프트웨어 개발 및 공급업,"에스이알피, 브랜치, 인하우스",2019-01-25,12월,서울특별시,False,False,,True
311060,엘에이티,KONEX,코넥스,특수 목적용 기계 제조업,"In-Line Sputter, OLED 패널 청정물류 이송 장비 등",2018-12-28,12월,경기도,False,False,,True
298690,에어부산,KOSPI,유가,항공 여객 운송업,항공 여객 및 화물 운송,2018-12-27,12월,부산광역시,False,False,,True
238200,비피도,KOSDAQ,코스닥,기타 식품 제조업,프로바이오틱스 관련 완제품 및 균주 원말 등,2018-12-26,12월,강원특별자치도,False,False,,True
263050,유틸렉스,KOSDAQ,코스닥,기초 의약물질 제조업,"면역항암 세포치료제, 면역항암 항체치료제",2018-12-24,12월,서울특별시,False,False,,True
290550,디케이티,KOSDAQ,코스닥,전자부품 제조업,스마트폰용 FPCA,2018-12-21,12월,인천광역시,False,False,,True
307180,아이엘,KOSDAQ,코스닥,전구 및 조명장치 제조업,LED용 실리콘렌즈 외,2018-12-21,12월,충청남도,False,False,,True
310200,애니플러스,KOSDAQ,코스닥,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송통신사업,2018-12-21,12월,서울특별시,False,False,,True
310870,디와이씨,KOSDAQ,코스닥,자동차 신품 부품 제조업,자동차 부품,2018-12-20,12월,경상북도,False,False,,True
299900,위지윅스튜디오,KOSDAQ,코스닥,"영화, 비디오물, 방송프로그램 제작 및 배급업","VFX, 뉴미디어 등 특수영상 컨텐츠 제작",2018-12-20,12월,서울특별시,False,False,,True
309930,조이웍스앤코,KOSDAQ,코스닥,기타 생활용품 소매업,기업인수합병,2018-12-20,12월,서울특별시,False,False,,True
307750,국전,KOSDAQ,코스닥,의약품 제조업,기업 인수 및 합병,2018-12-19,12월,경기도,False,False,,True
298380,에이비엘바이오,KOSDAQ,코스닥,기초 의약물질 제조업,항체의약품 연구개발,2018-12-19,12월,서울특별시,False,False,,True
100590,머큐리,KOSDAQ,코스닥,통신 및 방송 장비 제조업,"AP 단말기, 광섬유 및 광케이블, 위성통신 전송장비",2018-12-14,12월,인천광역시,False,False,,True
110020,전진바이오팜,KOSDAQ,코스닥,기타 화학제품 제조업,"방충방향제, 유해동물피해감소제, 기생충피해감소제",2018-12-14,12월,대구광역시,False,False,,True
270870,뉴트리,KOSDAQ,코스닥,기타 식품 제조업,"에버콜라겐, 지노마스터 등",2018-12-13,12월,서울특별시,False,False,,True
307870,비투엔,KOSDAQ,코스닥,소프트웨어 개발 및 공급업,"데이터컨설팅, 품질관리 솔루션",2018-12-12,12월,서울특별시,False,False,,True
302430,이노메트리,KOSDAQ,코스닥,특수 목적용 기계 제조업,엑스레이검사 장비,2018-12-12,12월,경기도,False,False,,True
290120,DH오토리드,KOSDAQ,코스닥,자동차 신품 부품 제조업,자동차 스티어링휠,2018-12-07,12월,전북특별자치도,False,False,,True
128540,에코캡,KOSDAQ,코스닥,자동차 신품 부품 제조업,"자동차 부품(전선, 케이블, 벌브소켓, LED 등)",2018-12-05,12월,울산광역시,False,False,,True
307280,원바이오젠,KOSDAQ,코스닥,의료용품 및 기타 의약 관련제품 제조업,"창상피복제, 습윤드레싱제",2018-12-05,12월,경상북도,False,False,,True
900340,윙입푸드,KOSDAQ,코스닥,기타 금융업,육가공 제품,2018-11-30,12월,홍콩,True,True,금융,True
111710,남화산업,KOSDAQ,코스닥,스포츠 서비스업,골프장 서비스,2018-11-29,12월,전라남도,False,False,,True
179290,엠아이텍,KOSDAQ,코스닥,의료용 기기 제조업,비혈관 스텐트 및 체외충격파 쇄석기,2018-11-29,12월,경기도,False,False,,True
117730,티로보틱스,KOSDAQ,코스닥,특수 목적용 기계 제조업,"중대형 시스템, 중대형 로봇",2018-11-29,12월,경기도,False,False,,True
290660,다이나믹솔루션,KOSDAQ,코스닥,의료용 기기 제조업,라파엘스마트글러브 외,2018-11-28,12월,경기도,False,False,,True
207490,에이펙스인텍,KONEX,코넥스,전구 및 조명장치 제조업,LED조명장치 등,2018-11-28,12월,경상북도,False,False,,True
246710,티앤알바이오팹,KOSDAQ,코스닥,기초 의약물질 제조업,"생분해성 의료기기, 3D 바이오프린팅 시스템, 바이오잉크, 3D 오가노이드, 3D 세포치료제",2018-11-28,12월,경기도,False,False,,True
267850,아시아나IDT,KOSPI,유가,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT 서비스, IT 솔루션",2018-11-23,12월,서울특별시,False,False,,True
263690,디알젬,KOSDAQ,코스닥,의료용 기기 제조업,"진단용 엑스선 촬영장치 및 부분품, X-ray 제너레이터 외",2018-11-22,12월,경기도,False,False,,True
217330,싸이토젠,KOSDAQ,코스닥,자연과학 및 공학 연구개발업,CTC 기반 Liquid Biopsy 응용사업 및 플랫폼,2018-11-22,12월,경기도,False,False,,True
027360,아주IB투자,KOSDAQ,코스닥,기타 금융업,,2018-11-21,12월,서울특별시,True,True,금융,True
263020,디케이앤디,KOSDAQ,코스닥,플라스틱제품 제조업,합성피혁 및 부직포,2018-11-20,12월,경기도,False,False,,True
227100,프로브잇,KOSDAQ,코스닥,부동산 관련 서비스업,스마트 액세서리(보조배터리 등),2018-11-15,12월,서울특별시,False,True,부동산,True
194700,노바렉스,KOSDAQ,코스닥,기타 식품 제조업,건강기능식품 제조,2018-11-14,12월,충청북도,False,False,,True
290670,대보마그네틱,KOSDAQ,코스닥,기타 전기장비 제조업,"전자석탈철기, 자력선별기",2018-11-06,12월,경기도,False,False,,True
285490,노바텍,KOSDAQ,코스닥,그외 기타 제품 제조업,"Magnet, Shield Magnet, 심재",2018-11-02,12월,경기도,False,False,,True
290650,엘앤씨바이오,KOSDAQ,코스닥,의약품 제조업,"인체조직(피부, 뼈, 연골)",2018-11-01,12월,경기도,False,False,,True
306620,지아이에스,KOSDAQ,코스닥,특수 목적용 기계 제조업,기업인수합병,2018-10-31,12월,경기도,False,False,,True
108490,로보티즈,KOSDAQ,코스닥,특수 목적용 기계 제조업,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",2018-10-26,12월,서울특별시,False,False,,True
153710,옵티팜,KOSDAQ,코스닥,의료용품 및 기타 의약 관련제품 제조업,"옵티케어,메디피그 등",2018-10-26,12월,충청북도,False,False,,True
288620,에스프리즘,KOSDAQ,코스닥,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","건물용 연료전지, 발전용 연료전지",2018-10-15,12월,서울특별시,False,False,,True
306200,세아제강,KOSPI,유가,1차 철강 제조업,강관,2018-10-05,12월,서울특별시,False,False,,True
293580,나우IB,KOSDAQ,코스닥,기타 금융업,"투자조합, PEF 결성 및 투자",2018-10-04,12월,서울특별시,True,True,금융,True
290720,푸드나무,KOSDAQ,코스닥,무점포 소매업,,2018-10-04,12월,서울특별시,False,False,,True
293480,하나제약,KOSPI,유가,의약품 제조업,완제의약품,2018-10-02,12월,경기도,False,False,,True
110790,크리스에프앤씨,KOSDAQ,코스닥,봉제의복 제조업,골프웨어,2018-10-01,12월,서울특별시,False,False,,True
299170,더블유에스아이,KOSDAQ,코스닥,생활용품 도매업,"의약품, 의료기기 도소매",2018-09-21,12월,서울특별시,False,False,,True
219750,한국비티비,KOSDAQ,코스닥,의료용 기기 제조업,의료기기 및 미용기기,2018-09-21,12월,경기도,False,False,,True
010400,우진아이엔에스,KOSPI,유가,건물설비 설치 공사업,반도체/디스플레이 코팅덕트,2018-09-14,12월,서울특별시,False,False,,True
291230,엔피,KOSDAQ,코스닥,기타 사업지원 서비스업,"브랜드 익스피어리언스, XR 콘텐츠, 메타버스",2018-09-13,12월,서울특별시,False,False,,True
257370,피엔티엠에스,KOSDAQ,코스닥,특수 목적용 기계 제조업,"2차전지 분리막 제조설비, 디스플레이용 생산설비",2018-09-13,12월,대구광역시,False,False,,True
140610,엔솔바이오사이언스,KONEX,코넥스,자연과학 및 공학 연구개발업,"퇴행성디스크 치료제, 골관절염 치료제, 동물용 골관절염 치료제",2018-09-10,12월,대전광역시,False,False,,True
197140,디지캡,KOSDAQ,코스닥,소프트웨어 개발 및 공급업,"보호솔루션, 방송서비스솔루션 등",2018-09-07,12월,서울특별시,False,False,,True
303030,지니틱스,KOSDAQ,코스닥,반도체 제조업,반도체 IC,2018-08-30,12월,경기도,False,False,,True
290740,액트로,KOSDAQ,코스닥,전자부품 제조업,모바일용 액츄에이터 및 조립자동화 설비,2018-08-28,12월,경기도,False,False,,True
173130,오파스넷,KOSDAQ,코스닥,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",네트워크 구축 및 유지보수,2018-08-24,12월,서울특별시,False,False,,True
089970,브이엠,KOSDAQ,코스닥,특수 목적용 기계 제조업,300mm Poly Etch System,2018-08-23,12월,경기도,False,False,,True
086820,바이오솔루션,KOSDAQ,코스닥,기초 의약물질 제조업,"세포치료제, 인체조직모델 등",2018-08-20,12월,서울특별시,False,False,,True
302920,더콘텐츠온,KONEX,코넥스,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화제작, 투자, 배급 및 영화디지털배급",2018-08-13,12월,서울특별시,False,False,,True
293940,신한알파리츠,KOSPI,유가,부동산 임대 및 공급업,비거주 부동산 임대 서비스업,2018-08-08,03월,서울특별시,False,True,부동산,True
110990,디아이티,KOSDAQ,코스닥,특수 목적용 기계 제조업,반도체 제조 장비,2018-08-07,12월,경기도,False,False,,True
275630,에스에스알,KOSDAQ,코스닥,소프트웨어 개발 및 공급업,"취약점 진단 솔루션, 모의해킹 컨설팅",2018-08-06,12월,서울특별시,False,False,,True
300720,한일시멘트,KOSPI,유가,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 레미탈",2018-08-06,12월,서울특별시,False,False,,True
290270,휴네시온,KOSDAQ,코스닥,소프트웨어 개발 및 공급업,망간자료전송(i-oneNet),2018-08-02,12월,서울특별시,False,False,,True
091810,트리니티항공,KOSPI,유가,항공 여객 운송업,저가 항공운송,2018-08-01,12월,대구광역시,False,False,,True
286940,롯데이노베이트,KOSPI,유가,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI",2018-07-27,12월,서울특별시,False,False,,True
080720,한국유니온제약,KOSDAQ,코스닥,의약품 제조업,"항생제, 순환기계, 근골격계, 소화기계류 완제의약품",2018-07-26,12월,강원특별자치도,False,False,,True
204020,그리티,KOSDAQ,코스닥,봉제의복 제조업,"내의(원더브라, 플레이텍스, 미싱도로시, 르페)",2018-07-23,12월,서울특별시,False,False,,True
297570,알로이스,KOSDAQ,코스닥,통신 및 방송 장비 제조업,안드로이드 OTT 멀티미디어 디바이스,2018-07-20,12월,경기도,False,False,,True
226950,올릭스,KOSDAQ,코스닥,자연과학 및 공학 연구개발업,siRNA 신약 개발,2018-07-18,12월,경기도,False,False,,True
298050,HS효성첨단소재,KOSPI,유가,화학섬유 제조업,PET타이어코드,2018-07-13,12월,서울특별시,False,False,,True
258050,테크트랜스,KONEX,코넥스,기타 금속 가공제품 제조업,비철금속표면처리장비 및 솔루션,2018-07-13,12월,경상북도,False,False,,True
298040,효성중공업,KOSPI,유가,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",-,2018-07-13,12월,서울특별시,False,False,,True
298020,효성티앤씨,KOSPI,유가,화학섬유 제조업,"섬유, 산업자재, 화학, 중공업, 건설, 무역,금융 등",2018-07-13,12월,서울특별시,False,False,,True
298000,효성화학,KOSPI,유가,기초 화학물질 제조업,-,2018-07-13,12월,서울특별시,False,False,,True
175250,아이큐어,KOSDAQ,코스닥,기타 화학제품 제조업,"플라스타, 의약 및 의약외품 패취등, 마스크팩, 화장품 기초라인",2018-07-12,12월,서울특별시,False,False,,True
289080,SV인베스트먼트,KOSDAQ,코스닥,기타 금융업,중소/벤처기업 투자 및 육성,2018-07-06,03월,서울특별시,True,True,금융,True
276240,엘리비젼,KONEX,코넥스,영상 및 음향기기 제조업,"디지털 사이니지, 키오스크 등",2018-07-05,12월,인천광역시,False,False,,True
299480,지앤이헬스케어,KONEX,코넥스,기타 섬유제품 제조업,면생리대,2018-06-29,12월,경기도,False,False,,True
088260,이리츠코크렙,KOSPI,유가,부동산 임대 및 공급업,부동산투자회사,2018-06-27,06월,서울특별시,False,True,부동산,True
245620,EDGC,KOSDAQ,코스닥,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스,2018-06-26,12월,인천광역시,False,False,,True
294870,IPARK현대산업개발,KOSPI,유가,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",2018-06-12,12월,서울특별시,False,False,,True
284620,카이노스메드,KOSDAQ,코스닥,자연과학 및 공학 연구개발업,기업인수합병,2018-06-08,12월,경기도,False,False,,True
037030,파워넷,KOSDAQ,코스닥,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전력변환장치,2018-06-07,12월,서울특별시,False,False,,True
016790,현대사료,KOSDAQ,코스닥,동물용 사료 및 조제식품 제조업,"양계, 양돈 배합사료",2018-06-01,12월,충청남도,False,False,,True
258830,세종메디칼,KOSDAQ,코스닥,의료용 기기 제조업,복강경수술용 투관침 등,2018-05-29,12월,경기도,False,False,,True
122310,제노레이,KOSDAQ,코스닥,의료용 기기 제조업,의료용 방사선 진단기기,2018-05-28,12월,경기도,False,False,,True
217910,에스제이켐,KONEX,코넥스,기초 화학물질 제조업,"수처리응집제, 폴리프로필렌",2018-04-27,12월,전북특별자치도,False,False,,True
950170,JTC,KOSDAQ,코스닥,종합 소매업,"식품류, 생활용품류, 화장품류 (사후면세업)",2018-04-06,02월,일본,False,False,,True
253590,네오셈,KOSDAQ,코스닥,특수 목적용 기계 제조업,반도체 검사장비,2018-04-04,12월,경기도,False,False,,True
263700,케어랩스,KOSDAQ,코스닥,광고업,"헬스케어 미디어플랫폼, 헬스케어 디지털마케팅, 헬스케어 솔루션",2018-03-28,12월,서울특별시,False,False,,True
018250,애경산업,KOSPI,유가,기타 화학제품 제조업,"Age 20's,루나, 트리오, 2080치약, 순샘, 제트 등",2018-03-22,12월,서울특별시,False,False,,True
277070,린드먼아시아,KOSDAQ,코스닥,신탁업 및 집합투자업,"투자조합, PEF 결성 및 투자",2018-03-14,12월,서울특별시,True,True,"투자, 신탁",True
226400,오스테오닉,KOSDAQ,코스닥,의료용 기기 제조업,골접합 및 재건용 금속소재 및 생체복합재료 기반 임플란트,2018-02-22,12월,서울특별시,False,False,,True
183490,엔지켐생명과학,KOSDAQ,코스닥,기초 의약물질 제조업,"EC-18(신약), 원료의약품",2018-02-21,12월,충청북도,False,False,,True
006620,동구바이오제약,KOSDAQ,코스닥,의약품 제조업,"피부, 비뇨기과 완제의약품",2018-02-13,12월,서울특별시,False,False,,True
154030,아시아종묘,KOSDAQ,코스닥,작물 재배업,종자,2018-02-12,12월,서울특별시,False,False,,True
260660,알리코제약,KOSDAQ,코스닥,의료용품 및 기타 의약 관련제품 제조업,완제 의약품,2018-02-12,12월,서울특별시,False,False,,True
068270,셀트리온,KOSPI,유가,기초 의약물질 제조업,"램시마, 트룩시마, 허쥬마",2018-02-09,12월,인천광역시,False,False,,True
042000,카페24,KOSDAQ,코스닥,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","쇼핑몰솔루션, 광고솔루션, 호스팅솔루션",2018-02-08,12월,서울특별시,False,False,,True
219420,링크제니시스,KOSDAQ,코스닥,소프트웨어 개발 및 공급업,"반도체, 디스플레이, 자동화 S/W 및 시스템 테스트 자동화 솔루션 개발(XCOMPRO, XGEM, MAT)",2018-02-05,12월,경기도,False,False,,True
267790,배럴,KOSDAQ,코스닥,봉제의복 제조업,래쉬가드 및 워터스포츠 등,2018-02-01,12월,서울특별시,False,False,,True
255220,SG,KOSDAQ,코스닥,기타 비금속 광물제품 제조업,아스콘,2018-01-26,12월,인천광역시,False,False,,True
264660,씨앤지하이테크,KOSDAQ,코스닥,특수 목적용 기계 제조업,"약액혼합공급장치, 화학약품재생장치",2018-01-25,12월,경기도,False,False,,True
284740,쿠쿠홈시스,KOSPI,유가,개인 및 가정용품 임대업,"정수기, 공기청정기 등",2018-01-11,12월,경기도,False,False,,True
285130,SK케미칼,KOSPI,유가,합성고무 및 플라스틱 물질 제조업,"PETG 수지, PET 수지, 바이오디젤, 백신",2018-01-05,12월,경기도,False,False,,True
269620,시스웍,KOSDAQ,코스닥,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","클린룸 제어시스템, BLDC모터, 공조장치 제어기 등",2017-12-26,12월,대전광역시,False,False,,True
187870,디바이스,KOSDAQ,코스닥,특수 목적용 기계 제조업,OLED용 FM MASK 세정장비,2017-12-20,12월,충청남도,False,False,,True
236030,씨알푸드,KONEX,코넥스,"곡물가공품, 전분 및 전분제품 제조업","시리얼, 시리얼바",2017-12-14,12월,충청북도,False,False,,True
