estimator,clip_quantile,tau,theta_hat,se_hat,ci_low,ci_high,max_abs_score,p99_abs_score,share_top1pct,share_top0_5pct,share_top0_1pct
standard_dml,,,4878.500016042124,1757.3750735052706,1434.1081646433636,8322.891867440885,1764685.335393295,86546.17165903919,0.19442919251615398,0.14829224274975816,0.07152779871884889
outcome_winsorized_dml,,,6890.6075327298795,788.0352059893904,5346.086910441071,8435.128155018687,148563.34675496133,76511.39551801633,0.10694428185877844,0.060977368427466545,0.013199862624887577
covariate_winsorized_dml,,,5908.377518491696,1543.5033320784828,2883.1665776003024,8933.588459383089,1079653.7623104192,82922.54048288373,0.18591963350807644,0.1406506869690797,0.06263591611874028
score_clipped_dml,0.95,35164.251128286356,5421.449354659689,667.4250206297899,4113.320351844398,6729.578357474979,35164.251128286356,35164.251128286356,0.03979786383172481,0.019697932603580968,0.0036179876210658923
score_clipped_dml,0.97,49555.16405055186,6400.443176037761,726.8028345740169,4975.935796411065,7824.950555664457,49555.16405055186,49555.16405055186,0.05279000692284332,0.026128387264841648,0.004799091538440302
score_clipped_dml,0.99,87458.31678135147,7167.59003263935,830.1864944342117,5540.454403096734,8794.725662181967,87458.31678135147,85387.80540590802,0.08698369125860253,0.043059646817038465,0.00790891472149686
score_clipped_dml,0.995,132383.38541057688,7271.6061364966245,907.0527479026292,5493.815418529382,9049.396854463866,132383.38541057688,85315.30590667404,0.1136259393943614,0.06324253021662213,0.011619141452379427
score_clipped_dml,0.999,394308.99959220004,6387.644239973327,1187.2106848482897,4060.7540556095464,8714.534424337107,394308.99959220004,85931.42968427489,0.1603896146089196,0.11251884352702135,0.03284893558612779
