theta_hat,se_hat,ci_low,ci_high,bias,covered,ci_length,max_abs_score,p99_abs_score,share_top1pct,share_top0_5pct,share_top0_1pct,estimator,clip_quantile,tau,rep,tail_type,contamination,overlap,nuisance,learner,theta_true,n,p
1.0180441650110446,0.031243300208423787,0.9568084218443612,1.079279908177728,0.018044165011044555,1,0.1224714863333668,5.5833566317936265,3.4233313177605287,0.06191418299087417,0.035399745002407716,0.008346585055962146,standard_dml,,,0,normal,0.0,strong,linear,lasso,1.0,1000,20
1.0065986398963265,0.03030869994175433,0.9471946795922568,1.0660026002003962,0.006598639896326475,1,0.11880792060813938,5.454803821403014,3.4092012269351963,0.060377169870119214,0.033660457842696445,0.008342628914242083,outcome_winsorized_dml,,,0,normal,0.0,strong,linear,lasso,1.0,1000,20
1.0186114588552864,0.03131081395793651,0.9572433911710968,1.079979526539476,0.018611458855286367,1,0.12273613536837924,5.65277691217471,3.4854160486455084,0.06172142754449496,0.03527693837979267,0.00843013234304123,covariate_winsorized_dml,,,0,normal,0.0,strong,linear,lasso,1.0,1000,20
1.0184828350657016,0.031370291449292036,0.9569981936405644,1.0799674764908387,0.018482835065701586,1,0.12296928285027431,4.749870802381328,3.423759659928835,0.060194043339409586,0.03363777191592653,0.007113491340643767,score_clipped_dml,0.95,4.749870802381328,0,normal,0.0,strong,linear,lasso,1.0,1000,20
1.0180441650110443,0.031243300208423787,0.956808421844361,1.0792799081777278,0.018044165011044333,1,0.1224714863333668,5.583356631793625,3.4233313177605296,0.06191418299087416,0.035399745002407716,0.008346585055962143,score_clipped_dml,0.97,5.998333496963676,0,normal,0.0,strong,linear,lasso,1.0,1000,20
1.0180441650110443,0.031243300208423787,0.956808421844361,1.0792799081777278,0.018044165011044333,1,0.1224714863333668,5.583356631793625,3.4233313177605296,0.06191418299087416,0.035399745002407716,0.008346585055962143,score_clipped_dml,0.99,8.081697607159574,0,normal,0.0,strong,linear,lasso,1.0,1000,20
1.0180441650110443,0.031243300208423787,0.956808421844361,1.0792799081777278,0.018044165011044333,1,0.1224714863333668,5.583356631793625,3.4233313177605296,0.06191418299087416,0.035399745002407716,0.008346585055962143,score_clipped_dml,0.995,8.968038238115918,0,normal,0.0,strong,linear,lasso,1.0,1000,20
1.0180441650110446,0.031243300208423787,0.9568084218443612,1.079279908177728,0.018044165011044555,1,0.1224714863333668,5.5833566317936265,3.4233313177605287,0.06191418299087417,0.035399745002407716,0.008346585055962146,score_clipped_dml,0.999,10.240427620694764,0,normal,0.0,strong,linear,lasso,1.0,1000,20
1.0103633142511754,0.033115329107269074,0.9454584618647371,1.0752681666376138,0.010363314251175426,1,0.12980970477287668,10.320240185397195,4.361696383485736,0.08067181440122709,0.048361313571189404,0.014342777936554255,standard_dml,,,1,normal,0.0,strong,linear,lasso,1.0,1000,20
0.9831397275113349,0.03251688531120638,0.9194078034119509,1.046871651610719,-0.016860272488665062,1,0.1274638481987681,10.486966947114736,3.8544734691092772,0.07928623093877304,0.04831483462066283,0.014794655777992313,outcome_winsorized_dml,,,1,normal,0.0,strong,linear,lasso,1.0,1000,20
