tail_type,contamination,overlap,nuisance,learner,estimator,clip_quantile,mean_theta_hat,bias,sd,rmse,coverage,mean_ci_length,mean_share_top1pct,mean_share_top0_5pct,mean_share_top0_1pct,mean_max_abs_score,mean_p99_abs_score,reps
t3,0.05,weak,nonlinear,lasso,covariate_winsorized_dml,,0.7008384627247479,-0.2991615372752521,0.07994417408923252,0.3094525406848122,0.0,0.3144661430026049,0.2162910702635838,0.12704918105642948,0.03251542154867268,216.20275088824192,103.37766673281396,50
t3,0.05,weak,nonlinear,lasso,outcome_winsorized_dml,,0.673894739923301,-0.3261052600766991,0.07057678625857794,0.33350577469229636,0.0,0.285306984192521,0.20860901418887653,0.12366607121760152,0.031653585771732586,200.34191181709488,94.72568685029468,50
t3,0.05,weak,nonlinear,lasso,score_clipped_dml,0.95,0.8632277923072372,-0.1367722076927627,0.054901082655275886,0.14717500839592032,0.28,0.22069094471741565,0.09982076277748174,0.04991038138874087,0.009982076277748175,48.12187933018101,48.12187933018101,50
t3,0.05,weak,nonlinear,lasso,score_clipped_dml,0.97,0.8164411911971375,-0.18355880880286246,0.06555328872275076,0.19469238628730906,0.14,0.2579996130796237,0.12522240075688934,0.06261120037844467,0.012522240075688933,67.91755575321992,67.91755575321992,50
t3,0.05,weak,nonlinear,lasso,score_clipped_dml,0.99,0.7502152126380157,-0.24978478736198417,0.07511281453484053,0.2606176053275567,0.02,0.299562923921379,0.16950514692390584,0.08526893398806273,0.017053786797612543,105.21068387300699,99.13841139369246,50
t3,0.05,weak,nonlinear,lasso,score_clipped_dml,0.995,0.7284026665093276,-0.2715973334906724,0.07608874913106835,0.28184893001160666,0.02,0.3087663100344842,0.19124971254147538,0.10095203739821124,0.02049208513436074,131.31483062543924,103.34990264065549,50
t3,0.05,weak,nonlinear,lasso,score_clipped_dml,0.999,0.7095886687956471,-0.2904113312043529,0.07711864607457881,0.3002783394665906,0.02,0.3130890754258655,0.2120236494551481,0.12252895475319808,0.029123369565731395,193.49866625052312,103.7164508697394,50
t3,0.05,weak,nonlinear,lasso,standard_dml,,0.7070912676223295,-0.2929087323776705,0.07937236871795397,0.30326473411967086,0.02,0.3128618982871957,0.21576721042985003,0.12680864481136497,0.032495560735741884,216.8407287478462,103.65361396323722,50
t5,0.05,weak,nonlinear,lasso,covariate_winsorized_dml,,0.6786249189987628,-0.3213750810012372,0.08319561001791682,0.3317604889438765,0.0,0.34615001777449345,0.2157725137576541,0.12379058543643301,0.030563056136873278,184.85504499992823,100.86659928749755,50
t5,0.05,weak,nonlinear,lasso,outcome_winsorized_dml,,0.6681950600292574,-0.33180493997074256,0.07969508348883432,0.3410554183628146,0.0,0.31838866412280786,0.21412207262484323,0.12391552744972356,0.030747191710622027,177.56791544431238,91.70240355094265,50
t5,0.05,weak,nonlinear,lasso,score_clipped_dml,0.95,0.8740184787389651,-0.12598152126103485,0.061500901535803815,0.1399216115229055,0.44,0.23826168255013871,0.10029434574726015,0.050147172873630075,0.010029434574726015,42.83381054429989,42.83381054429989,50
t5,0.05,weak,nonlinear,lasso,score_clipped_dml,0.97,0.8166465587051888,-0.18335344129481126,0.07187680033862764,0.1966759603333116,0.26,0.28668310615055675,0.1298743418890921,0.06493717094454605,0.012987434188909212,63.61142941141743,63.61142941141743,50
t5,0.05,weak,nonlinear,lasso,score_clipped_dml,0.99,0.7397077679102957,-0.2602922320897043,0.07964267966633247,0.2719708502435249,0.1,0.33521466705666164,0.1720273940033283,0.0861605512156107,0.017232110243122142,96.57591350717978,94.83816880549536,50
t5,0.05,weak,nonlinear,lasso,score_clipped_dml,0.995,0.7142973640302711,-0.28570263596972884,0.08361318756047831,0.2974514044871778,0.06,0.3419252252036791,0.19276366686018112,0.09962029512802607,0.020029374333778063,116.85464801483046,100.70426884168546,50
t5,0.05,weak,nonlinear,lasso,score_clipped_dml,0.999,0.6947334399132002,-0.3052665600867998,0.08188158439163422,0.31584517519262884,0.02,0.34426087541623107,0.2091018737165893,0.11597343615420982,0.025380263097603935,152.60690877380773,101.34211448357559,50
t5,0.05,weak,nonlinear,lasso,standard_dml,,0.6858858981680163,-0.3141141018319836,0.08275719723607543,0.3246220072487339,0.02,0.34447255100575447,0.21556085146466208,0.12372413131735606,0.030585698633394342,185.8817453712432,101.05164940979296,50
