model,variable,coef,std_err,t_or_z,p_value,nobs
P1_count_controls,"C(sector)[T.펄프, 종이 및 판지 제조업]",-0.4592276605039738,0.3850574532783751,-1.1926211441802108,0.23301778113696614,4610.0
P1_count_controls,C(sector)[T.편조원단 제조업],0.9259604753132508,0.46889419509469166,1.9747748745881917,0.048293701555385954,4610.0
P1_count_controls,C(sector)[T.플라스틱제품 제조업],-0.35038812737283154,0.312991540704313,-1.1194811418365058,0.26293493166486115,4610.0
P1_count_controls,C(sector)[T.합성고무 및 플라스틱 물질 제조업],0.7502078257662521,0.415983816684112,1.8034543548984785,0.071316887804884,4610.0
P1_count_controls,C(sector)[T.항공 여객 운송업],0.18691604260076108,0.3081492100387071,0.6065764133462561,0.544132057206445,4610.0
P1_count_controls,"C(sector)[T.항공기,우주선 및 부품 제조업]",0.6385266866714142,0.3887723836721031,1.6424178092082742,0.10050344662021883,4610.0
P1_count_controls,C(sector)[T.해상 운송업],0.1210148374671684,0.3543674661444665,0.34149533754837913,0.732730714249058,4610.0
P1_count_controls,C(sector)[T.화학섬유 제조업],0.30109919934689383,0.3271242298225948,0.9204429751663006,0.35734131971412086,4610.0
P1_count_controls,LogAssets_w,0.10878263511116992,0.020080382369883187,5.417358748821611,6.04859000759958e-08,4610.0
P1_count_controls,Leverage_w,0.5630974855754289,0.16023386410774215,3.514222718842997,0.0004410428565918032,4610.0
P1_count_controls,ROA_w,-2.6753591902682023,0.47221607610605265,-5.665540259301458,1.4656200657556451e-08,4610.0
P1_count_controls,Loss,0.08199990731132532,0.08251239581827859,0.9937889513221512,0.320325626235079,4610.0
