corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year,CorrectionDummy_filing
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2019.12),20200410002837,셀트리온,20200410,정연,2020,2020,1
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2021.12),20220512000853,셀트리온,20220512,연,2022,2022,1
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2020.12),20220512000852,셀트리온,20220512,연,2022,2022,1
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2019.12),20220512000850,셀트리온,20220512,연,2022,2022,1
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2018.12),20220512000849,셀트리온,20220512,연,2022,2022,1
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2017.12),20220512000845,셀트리온,20220512,연,2022,2022,1
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2016.12),20220512000841,셀트리온,20220512,연,2022,2022,1
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2021.12),20220317000991,셀트리온,20220317,정연,2022,2022,1
01267684,쿠쿠홈시스,284740,Y,[기재정정]사업보고서 (2020.12),20210326000876,쿠쿠홈시스,20210326,,2021,2021,1
01267684,쿠쿠홈시스,284740,Y,[기재정정]사업보고서 (2021.12),20220330001375,쿠쿠홈시스,20220330,연,2022,2022,1
01267684,쿠쿠홈시스,284740,Y,[기재정정]사업보고서 (2022.12),20230403003576,쿠쿠홈시스,20230403,연,2023,2023,1
01267684,쿠쿠홈시스,284740,Y,[기재정정]사업보고서 (2022.12),20230330001229,쿠쿠홈시스,20230330,정연,2023,2023,1
01267170,SK케미칼,285130,Y,[기재정정]사업보고서 (2017.12),20180402001432,SK케미칼,20180402,연,2018,2018,1
01267170,SK케미칼,285130,Y,[기재정정]사업보고서 (2018.12),20190404002228,SK케미칼,20190404,연,2019,2019,1
01267170,SK케미칼,285130,Y,[기재정정]사업보고서 (2018.12),20190404001642,SK케미칼,20190404,정연,2019,2019,1
01267170,SK케미칼,285130,Y,[기재정정]사업보고서 (2020.12),20210428000711,SK케미칼,20210428,연,2021,2021,1
01267170,SK케미칼,285130,Y,[기재정정]사업보고서 (2022.12),20230320000964,SK케미칼,20230320,연,2023,2023,1
01263022,BGF리테일,282330,Y,[기재정정]사업보고서 (2023.12),20240412003349,BGF리테일,20240412,연,2024,2024,1
01060814,삼양패키징,272550,Y,[기재정정]사업보고서 (2017.12),20180612000249,삼양패키징,20180612,,2018,2018,1
01060814,삼양패키징,272550,Y,[기재정정]사업보고서 (2017.12),20180402003653,삼양패키징,20180402,정,2018,2018,1
00256955,테이팩스,055490,Y,[기재정정]사업보고서 (2017.12),20180628000373,테이팩스,20180628,연,2018,2018,1
00256955,테이팩스,055490,Y,[기재정정]사업보고서 (2021.12),20220816000332,테이팩스,20220816,연,2022,2022,1
00256955,테이팩스,055490,Y,[기재정정]사업보고서 (2023.12),20240322000460,테이팩스,20240322,연,2024,2024,1
01258507,롯데웰푸드,280360,Y,[기재정정]사업보고서 (2023.12),20240322000503,롯데웰푸드,20240322,연,2024,2024,1
01258507,롯데웰푸드,280360,Y,[기재정정]사업보고서 (2023.12),20240318000765,롯데웰푸드,20240318,정연,2024,2024,1
00258801,카카오,035720,Y,[기재정정]사업보고서 (2023.12),20240418000375,카카오,20240418,연,2024,2024,1
00258801,카카오,035720,Y,[기재정정]사업보고서 (2023.12),20240328001805,카카오,20240328,정연,2024,2024,1
00258801,카카오,035720,Y,[기재정정]사업보고서 (2023.12),20240321000907,카카오,20240321,정연,2024,2024,1
00258801,카카오,035720,Y,[기재정정]사업보고서 (2022.12),20240320000393,카카오,20240320,연,2024,2024,1
00258801,카카오,035720,Y,[기재정정]사업보고서 (2021.12),20240320000386,카카오,20240320,연,2024,2024,1
00258801,카카오,035720,Y,[기재정정]사업보고서 (2020.12),20240320000376,카카오,20240320,연,2024,2024,1
01238169,오리온,271560,Y,[기재정정]사업보고서 (2018.12),20190612000150,오리온,20190612,연,2019,2019,1
01238169,오리온,271560,Y,[기재정정]사업보고서 (2021.12),20220323000300,오리온,20220323,연,2022,2022,1
01234297,미원에스씨,268280,Y,[기재정정]사업보고서 (2021.12),20220816000420,미원에스씨,20220816,연,2022,2022,1
00904672,넷마블,251270,Y,[기재정정]사업보고서 (2017.12),20180403000993,넷마블,20180403,연,2018,2018,1
00904672,넷마블,251270,Y,[기재정정]사업보고서 (2018.12),20190521000353,넷마블,20190521,연,2019,2019,1
00904672,넷마블,251270,Y,[첨부정정]사업보고서 (2018.12),20190515002612,넷마블,20190515,정연,2019,2019,1
00904672,넷마블,251270,Y,[기재정정]사업보고서 (2019.12),20200330004828,넷마블,20200330,연,2020,2020,1
01205842,HD건설기계,267270,Y,[기재정정]사업보고서 (2021.12),20220816000025,HD건설기계,20220816,연,2022,2022,1
01205842,HD건설기계,267270,Y,[기재정정]사업보고서 (2021.12),20220315000963,HD건설기계,20220315,정연,2022,2022,1
01205851,HD현대일렉트릭,267260,Y,[기재정정]사업보고서 (2017.12),20180615000431,HD현대일렉트릭,20180615,연,2018,2018,1
01205329,크라운제과,264900,Y,[기재정정]사업보고서 (2021.12),20220323000021,크라운제과,20220323,,2022,2022,1
01205329,크라운제과,264900,Y,[기재정정]사업보고서 (2021.12),20220322000905,크라운제과,20220322,정,2022,2022,1
01205329,크라운제과,264900,Y,[기재정정]사업보고서 (2022.12),20230331000007,크라운제과,20230331,,2023,2023,1
00526599,덴티움,145720,Y,[기재정정]사업보고서 (2022.12),20230322001007,덴티움,20230322,,2023,2023,1
00226316,호전실업,111110,Y,[기재정정]사업보고서 (2017.12),20180409001556,호전실업,20180409,연,2018,2018,1
00226316,호전실업,111110,Y,[기재정정]사업보고서 (2020.12),20210331002763,호전실업,20210331,연,2021,2021,1
00226316,호전실업,111110,Y,[기재정정]사업보고서 (2021.12),20220331002749,호전실업,20220331,연,2022,2022,1
00226316,호전실업,111110,Y,[기재정정]사업보고서 (2022.12),20230331003532,호전실업,20230331,연,2023,2023,1
00226316,호전실업,111110,Y,[기재정정]사업보고서 (2023.12),20240329002993,호전실업,20240329,연,2024,2024,1
00119140,핸즈코퍼레이션,143210,Y,[기재정정]사업보고서 (2023.12),20240513000862,핸즈코퍼레이션,20240513,연,2024,2024,1
01032486,두산밥캣,241560,Y,[기재정정]사업보고서 (2021.12),20220812000942,두산밥캣,20220812,연,2022,2022,1
01032486,두산밥캣,241560,Y,[기재정정]사업보고서 (2023.12),20240329003259,두산밥캣,20240329,연,2024,2024,1
00877059,삼성바이오로직스,207940,Y,[기재정정]사업보고서 (2018.12),20190723000170,삼성바이오로직스,20190723,,2019,2019,1
00225706,JW생명과학,234080,Y,[기재정정]사업보고서 (2017.12),20180814002741,JW생명과학,20180814,연,2018,2018,1
00225706,JW생명과학,234080,Y,[기재정정]사업보고서 (2018.12),20190730000355,JW생명과학,20190730,연,2019,2019,1
00225706,JW생명과학,234080,Y,[기재정정]사업보고서 (2020.12),20210901000473,JW생명과학,20210901,정연,2021,2021,1
00225706,JW생명과학,234080,Y,[기재정정]사업보고서 (2020.12),20210326000024,JW생명과학,20210326,정연,2021,2021,1
00225706,JW생명과학,234080,Y,[기재정정]사업보고서 (2020.12),20220228000075,JW생명과학,20220228,연,2022,2022,1
01168383,일동제약,249420,Y,[기재정정]사업보고서 (2023.12),20240708000113,일동제약,20240708,연,2024,2024,1
00119672,두올,016740,Y,[기재정정]사업보고서 (2017.12),20180615000219,두올,20180615,연,2018,2018,1
00119672,두올,016740,Y,[기재정정]사업보고서 (2020.12),20210322000709,두올,20210322,연,2021,2021,1
00119672,두올,016740,Y,[기재정정]사업보고서 (2022.12),20230713000062,두올,20230713,연,2023,2023,1
00144395,동서,026960,Y,[기재정정]사업보고서 (2020.12),20210318000724,동서,20210318,연,2021,2021,1
00365989,모나용평,070960,Y,[기재정정]사업보고서 (2017.12),20180615000023,모나용평,20180615,연,2018,2018,1
00365989,모나용평,070960,Y,[기재정정]사업보고서 (2020.12),20210326001119,모나용평,20210326,연,2021,2021,1
00428321,해태제과식품,101530,Y,[기재정정]사업보고서 (2021.12),20220817000003,해태제과식품,20220817,연,2022,2022,1
00428321,해태제과식품,101530,Y,[기재정정]사업보고서 (2021.12),20220816002677,해태제과식품,20220816,정연,2022,2022,1
00428321,해태제과식품,101530,Y,[기재정정]사업보고서 (2019.12),20240516002223,해태제과식품,20240516,연,2024,2024,1
00428321,해태제과식품,101530,Y,[기재정정]사업보고서 (2018.12),20240516002204,해태제과식품,20240516,연,2024,2024,1
00428321,해태제과식품,101530,Y,[기재정정]사업보고서 (2017.12),20240516002189,해태제과식품,20240516,연,2024,2024,1
00428321,해태제과식품,101530,Y,[기재정정]사업보고서 (2016.12),20240516002167,해태제과식품,20240516,연,2024,2024,1
00109806,삼일씨엔에스,004440,Y,[기재정정]사업보고서 (2021.12),20220328000445,삼일씨엔에스,20220328,연,2022,2022,1
00332927,제이에스코퍼레이션,194370,Y,[기재정정]사업보고서 (2021.12),20220715000180,제이에스코퍼레이션,20220715,연,2022,2022,1
00911955,잇츠한불,226320,Y,[기재정정]사업보고서 (2017.12),20180625000290,잇츠한불,20180625,연,2018,2018,1
00415628,세진중공업,075580,Y,[기재정정]사업보고서 (2021.12),20221019000356,세진중공업,20221019,연,2022,2022,1
00415628,세진중공업,075580,Y,[기재정정]사업보고서 (2021.12),20220816001882,세진중공업,20220816,정연,2022,2022,1
00105606,금호에이치티,214330,Y,[기재정정]사업보고서 (2018.12),20190527000441,금호에이치티,20190527,연,2019,2019,1
00105606,금호에이치티,214330,Y,[기재정정]사업보고서 (2018.12),20190516000313,금호에이치티,20190516,정연,2019,2019,1
00105606,금호에이치티,214330,Y,[기재정정]사업보고서 (2020.12),20210331003148,금호에이치티,20210331,연,2021,2021,1
00105606,금호에이치티,214330,Y,[기재정정]사업보고서 (2021.12),20220516002226,금호에이치티,20220516,연,2022,2022,1
00105606,금호에이치티,214330,Y,[기재정정]사업보고서 (2021.12),20220331003021,금호에이치티,20220331,정연,2022,2022,1
00105606,금호에이치티,214330,Y,[기재정정]사업보고서 (2022.12),20230331003463,금호에이치티,20230331,연,2023,2023,1
00105606,금호에이치티,214330,Y,[기재정정]사업보고서 (2023.12),20240329002838,금호에이치티,20240329,연,2024,2024,1
00555874,제주항공,089590,Y,[기재정정]사업보고서 (2017.12),20180608000516,제주항공,20180608,연,2018,2018,1
00555874,제주항공,089590,Y,[기재정정]사업보고서 (2017.12),20180420000500,제주항공,20180420,정연,2018,2018,1
00555874,제주항공,089590,Y,[기재정정]사업보고서 (2017.12),20180330003933,제주항공,20180330,정연,2018,2018,1
00555874,제주항공,089590,Y,[기재정정]사업보고서 (2018.12),20190405002546,제주항공,20190405,정연,2019,2019,1
00555874,제주항공,089590,Y,[기재정정]사업보고서 (2019.12),20200330003748,제주항공,20200330,정연,2020,2020,1
00555874,제주항공,089590,Y,[기재정정]사업보고서 (2020.12),20210323000314,제주항공,20210323,정연,2021,2021,1
00555874,제주항공,089590,Y,[기재정정]사업보고서 (2018.12),20220331003402,제주항공,20220331,연,2022,2022,1
00555874,제주항공,089590,Y,[기재정정]사업보고서 (2019.12),20220331003366,제주항공,20220331,연,2022,2022,1
00555874,제주항공,089590,Y,[기재정정]사업보고서 (2020.12),20220331003341,제주항공,20220331,연,2022,2022,1
00555874,제주항공,089590,Y,[기재정정]사업보고서 (2021.12),20220331002829,제주항공,20220331,연,2022,2022,1
01108099,현대코퍼레이션홀딩스,227840,Y,[기재정정]사업보고서 (2017.12),20180618000243,현대코퍼레이션홀딩스,20180618,연,2018,2018,1
