rcept_no,corp_cls,corp_code,corp_name,bsns_year,adtor,adt_opinion,adt_reprt_spcmnt_matter,stlm_dt,query_year,endpoint_label,emphs_matter,core_adt_matter
20250311001270,Y,00139834,LG씨엔에스,"제37기
(전기)",삼일 회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,건설형계약 총계약원가의 추정
20250311001270,Y,00139834,LG씨엔에스,"제36기
(전전기)",삼일 회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,건설형계약 총계약원가의 추정
20250311001270,Y,00139834,LG씨엔에스,"제36기
(전전기)",삼일 회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,건설형계약 총계약원가의 추정
20250319000653,Y,01519790,엠앤씨솔루션,"제5기
(당기)",이촌회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,영업권 손상평가
20250319000653,Y,01519790,엠앤씨솔루션,"제5기
(당기)",-,,-,2024-12-31,2024,auditor_opinion,,
20250319000653,Y,01519790,엠앤씨솔루션,"제4기
(전기)",한영회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,부품정비 및 개발용역 수익인식,해당사항 없음
20250319000653,Y,01519790,엠앤씨솔루션,"제4기
(전기)",한영회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,부품정비 및 개발용역 수익인식,해당사항 없음
20250319000653,Y,01519790,엠앤씨솔루션,"제3기
(전전기)",한영회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,부품정비 및 개발용역 수익인식,해당사항 없음
20250319000653,Y,01519790,엠앤씨솔루션,"제3기
(전전기)",한영회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,부품정비 및 개발용역 수익인식,해당사항 없음
20250320000574,Y,00968607,더본코리아,"제31기
(당기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,가맹점 재화공급 매출의 발생사실
20250320000574,Y,00968607,더본코리아,"제31기
(당기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,가맹점 재화공급 매출의 발생사실
20250320000574,Y,00968607,더본코리아,"제30기
(전기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,
20250320000574,Y,00968607,더본코리아,"제30기
(전기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,
20250320000574,Y,00968607,더본코리아,"제29기
(전전기)",참회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,
20250320000574,Y,00968607,더본코리아,"제29기
(전전기)",참회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,
20250317000812,Y,01867758,한화비전,제1기(당기),삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,감사의견에 영향을 미치지 않는 사항으로서 이용자는 주석 20에 주의를 기울여야 할 필요가 있습니다. 주석20에 기술하고 있는 바와 같이 회사는 한화에어로스페이스 주식회사로 부터 2024년 9월 1일자로 인적분할되어 설립되었습니다. 분할기일인 2024년 9월 1일 이후 거래는 분할된 회사의 재무제표에 반영되었습니다.,종속기업투자 손상 평가
20250317000812,Y,01867758,한화비전,제1기(당기),삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,감사의견에 영향을 미치지 않는 사항으로서 이용자는 주석 37에 주의를 기울여야 할필요가 있습니다. 주석37에 기술하고 있는 바와 같이 연결회사는 한화에어로스페이스 주식회사로 부터 2024년 9월 1일자로 인적분할되어 설립되었습니다. 분할기일인 2024년 9월 1일 이후 거래는 분할된 연결회사의 연결재무제표에 반영되었습니다.,산업용장비부문 현금창출단위 손상 평가
20250317000812,Y,01867758,한화비전,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250317000812,Y,01867758,한화비전,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250317000812,Y,01867758,한화비전,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250317000812,Y,01867758,한화비전,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250317000567,Y,00372129,전진건설로봇,"제26기
(당기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,- 재화매출의 발생사실
20250317000567,Y,00372129,전진건설로봇,"제26기
(당기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,- 재화매출의 발생사실
20250317000567,Y,00372129,전진건설로봇,"제25기
(전기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,"- 현금흐름표 표시
-해외매출 수익인식
-이연법인세"
20250317000567,Y,00372129,전진건설로봇,"제25기
(전기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,"- 현금흐름표 표시
- 해외매출 수익인식
-이연법인세"
20250317000567,Y,00372129,전진건설로봇,"제24기
(전전기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,"- 해외매출 수익인식
- 대손충당금의 인식"
20250317000567,Y,00372129,전진건설로봇,"제24기
(전전기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,"- 해외매출 수익인식
- 대손충당금의 인식"
20250328001583,Y,00366438,산일전기,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250328001583,Y,00366438,산일전기,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250328001583,Y,00366438,산일전기,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250328001583,Y,00366438,산일전기,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250328001583,Y,00366438,산일전기,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250328001583,Y,00366438,산일전기,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250319000952,Y,01384787,시프트업,"제12기
(당기)",한영회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,"라이선스 매출의 
기간귀속에 대한 적정성"
20250319000952,Y,01384787,시프트업,"제12기
(당기)",-,,-,2024-12-31,2024,auditor_opinion,,
20250319000952,Y,01384787,시프트업,"제11기
(전기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,
20250319000952,Y,01384787,시프트업,"제11기
(전기)",-,,-,2024-12-31,2024,auditor_opinion,,
20250319000952,Y,01384787,시프트업,"제10기
(전전기)",한성회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,
20250319000952,Y,01384787,시프트업,"제10기
(전전기)",-,,-,2024-12-31,2024,auditor_opinion,,
20190329004010,Y,00171265,파라다이스,제48기 (당기),삼일회계법인,적정,해당사항 없음,2018-12-31,2018,auditor_opinion,,
20190329004010,Y,00171265,파라다이스,제47기 (전기),삼일회계법인,적정,해당사항 없음,2018-12-31,2018,auditor_opinion,,
20190329004010,Y,00171265,파라다이스,제46기 (전전기),삼일회계법인,적정,해당사항 없음,2018-12-31,2018,auditor_opinion,,
20200330001372,Y,00171265,파라다이스,제49기(당기),삼일회계법인,적정,-,2019-12-31,2019,auditor_opinion,"보고기간 말 이후
 ""코로나바이러스감염증-19""의 확산에 
따른 경영실적의 불확실성 증대(주1)",영업권의 손상평가(주1)
20200330001372,Y,00171265,파라다이스,제48기(전기),삼일회계법인,적정,-,2019-12-31,2019,auditor_opinion,,
20200330001372,Y,00171265,파라다이스,제47기(전전기),삼일회계법인,적정,-,2019-12-31,2019,auditor_opinion,,
20210419000082,Y,00171265,파라다이스,제50기(당기),삼일회계법인,적정,-,2020-12-31,2020,auditor_opinion,"""코로나바이러스 감염증-19로 인한 경영성과의 불확실성이 일반기업보다 클 수 있음",영업권의 손상검사
20210419000082,Y,00171265,파라다이스,제49기(전기),삼일회계법인,적정,-,2020-12-31,2020,auditor_opinion,"보고기간 말 이후
""코로나바이러스감염증-19""의 확산에 
따른 경영실적의 불확실성 증대",영업권의 손상평가
20210419000082,Y,00171265,파라다이스,제48기(전전기),삼일회계법인,적정,-,2020-12-31,2020,auditor_opinion,,
20220317001345,Y,00171265,파라다이스,제51기(당기),삼일회계법인,적정,-,2021-12-31,2021,auditor_opinion,"""코로나바이러스감염증-19""로 인한 재무상태 및 경영성과에 불확실성이 일반기업보다 클 수 있음","영업권의 
손상 검사"
20220317001345,Y,00171265,파라다이스,제50기(전기),삼일회계법인,적정,-,2021-12-31,2021,auditor_opinion,"""코로나바이러스 감염증-19로 인한 경영성과의 불확실성이 일반기업보다 클 수 있음","영업권의
손상검사"
20220317001345,Y,00171265,파라다이스,제49기(전전기),삼일회계법인,적정,-,2021-12-31,2021,auditor_opinion,"보고기간 말 이후
""코로나바이러스감염증-19""의 확산에 
따른 경영실적의 불확실성 증대","영업권의
 손상평가"
20230316001131,Y,00171265,파라다이스,제52기(당기),삼덕회계법인,적정,-,2022-12-31,2022,auditor_opinion,"""코로나바이러스감염증-19""로 인한 재무상태 및 경영성과의 불확실성이 일반기업보다 클 수 있음",영업권의 손상검사
20230316001131,Y,00171265,파라다이스,제51기(전기),삼일회계법인,적정,-,2022-12-31,2022,auditor_opinion,"""코로나바이러스감염증-19""로 인한 재무상태 및 경영성과의 불확실성이 일반기업보다 클 수 있음",영업권의 손상검사
20230316001131,Y,00171265,파라다이스,제50기(전전기),삼일회계법인,적정,-,2022-12-31,2022,auditor_opinion,"""코로나바이러스 감염증-19로 인한 경영성과의 불확실성이 일반기업보다 클 수 있음",영업권의 손상검사
20240314000746,Y,00171265,파라다이스,제53기(당기),삼덕회계법인,적정,-,2023-12-31,2023,auditor_opinion,해당사항 없음,영업권의 손상검사
20240314000746,Y,00171265,파라다이스,제52기(전기),삼덕회계법인,적정,-,2023-12-31,2023,auditor_opinion,"""코로나바이러스감염증-19""로 인한 재무상태 및 경영성과의 불확실성이 일반기업보다 클 수 있음",영업권의 손상검사
20240314000746,Y,00171265,파라다이스,제51기(전전기),삼일회계법인,적정,-,2023-12-31,2023,auditor_opinion,"""코로나바이러스감염증-19""로 인한 재무상태 및 경영성과의 불확실성이 일반기업보다 클 수 있음",영업권의 손상검사
20250415000021,Y,00171265,파라다이스,"제54기
(당기)",삼덕회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,영업권의 손상검사
20250415000021,Y,00171265,파라다이스,"제54기
(당기)",삼덕회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,영업권의 손상검사
20250415000021,Y,00171265,파라다이스,"제53기
(전기)",삼덕회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,영업권의 손상검사
20250415000021,Y,00171265,파라다이스,"제53기
(전기)",삼덕회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,영업권의 손상검사
20250415000021,Y,00171265,파라다이스,"제52기
(전전기)",삼덕회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,"""코로나바이러스감염증-19""로 인한 재무상태 및 경영성과의 불확실성이 일반기업보다 클 수 있음",영업권의 손상검사
20250415000021,Y,00171265,파라다이스,"제52기
(전전기)",삼덕회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,"""코로나바이러스감염증-19""로 인한 재무상태 및 경영성과의 불확실성이 일반기업보다 클 수 있음","-
영업권의 손상검사"
20250509000499,Y,01194689,HD현대마린솔루션,"제9기
(당기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,재고자산의 평가
20250509000499,Y,01194689,HD현대마린솔루션,"제9기
(당기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,재고자산의 평가
20250509000499,Y,01194689,HD현대마린솔루션,"제8기
(전기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,해당사항 없음
20250509000499,Y,01194689,HD현대마린솔루션,"제8기
(전기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,해당사항 없음
20250509000499,Y,01194689,HD현대마린솔루션,"제7기
(전전기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,해당사항 없음
20250509000499,Y,01194689,HD현대마린솔루션,"제7기
(전전기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,해당사항 없음
20250317000875,Y,01817081,SK이터닉스,"제1기
(당기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,인적분할,상품매출의 발생 사실에 대한 검토
20250317000875,Y,01817081,SK이터닉스,"제1기
(당기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,인적분할,상품매출의 발생 사실에 대한 검토
20250317000875,Y,01817081,SK이터닉스,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250317000875,Y,01817081,SK이터닉스,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250317000875,Y,01817081,SK이터닉스,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250317000875,Y,01817081,SK이터닉스,-,-,,-,2024-12-31,2024,auditor_opinion,,
20200924000286,Y,01190568,에이피알,"제 5 기(당기)
제 5 기(당반기)","삼일회계법인
한영회계법인","적정
검토","해당사항 없음(주1)
해당사항 없음",2018-12-31,2018,auditor_opinion,,
20200924000286,Y,01190568,에이피알,제 4 기(전기),한영회계법인,적정,해당사항 없음,2018-12-31,2018,auditor_opinion,,
20200924000286,Y,01190568,에이피알,제 3 기(전전기),한영회계법인,한정,(주2),2018-12-31,2018,auditor_opinion,,
20200924000296,Y,01190568,에이피알,제6기(당기),삼일회계법인,적정,-,2019-12-31,2019,auditor_opinion,해당사항 없음,해당사항 없음
20200924000296,Y,01190568,에이피알,제5기(전기),"삼일회계법인
한영회계법인","적정
검토",-,2019-12-31,2019,auditor_opinion,해당사항 없음,해당사항 없음
20200924000296,Y,01190568,에이피알,제4기(전전기),한영회계법인,적정,-,2019-12-31,2019,auditor_opinion,해당사항 없음,해당사항 없음
20210331000895,Y,01190568,에이피알,제7기(당기),현대회계법인,적정,-,2020-12-31,2020,auditor_opinion,해당사항 없음,해당사항 없음
20210331000895,Y,01190568,에이피알,제6기(전기),삼일회계법인,적정,-,2020-12-31,2020,auditor_opinion,해당사항 없음,해당사항 없음
20210331000895,Y,01190568,에이피알,제5기(전전기),"삼일회계법인
한영회계법인","적정
검토",-,2020-12-31,2020,auditor_opinion,해당사항 없음,해당사항 없음
20220331002148,Y,01190568,에이피알,제8기(당기),현대회계법인,적정,-,2021-12-31,2021,auditor_opinion,해당사항 없음,해당사항 없음
20220331002148,Y,01190568,에이피알,제7기(전기),현대회계법인,적정,-,2021-12-31,2021,auditor_opinion,해당사항 없음,해당사항 없음
20220331002148,Y,01190568,에이피알,제6기(전전기),삼일회계법인,적정,-,2021-12-31,2021,auditor_opinion,해당사항 없음,해당사항 없음
20230329001036,Y,01190568,에이피알,제9기(당기),현대회계법인,적정,-,2022-12-31,2022,auditor_opinion,해당사항 없음,해당사항 없음
20230329001036,Y,01190568,에이피알,제8기(전기),현대회계법인,적정,-,2022-12-31,2022,auditor_opinion,해당사항 없음,해당사항 없음
20230329001036,Y,01190568,에이피알,제7기(전전기),현대회계법인,적정,-,2022-12-31,2022,auditor_opinion,해당사항 없음,해당사항 없음
20240321000964,Y,01190568,에이피알,제10기(당기),안진회계법인,적정,-,2023-12-31,2023,auditor_opinion,"(주)
전기 오류수정사항",해당사항 없음
20240321000964,Y,01190568,에이피알,제9기(전기),현대회계법인,적정,-,2023-12-31,2023,auditor_opinion,해당사항 없음,해당사항 없음
