model,n_obs,n_firms,dep_mean
M1_controls,4610,689,0.21344902386117137
M2_governance,3218,682,0.21193287756370416
M3_governance_auditor_basic,3217,682,0.2119987566055331
M4_audit_fee_aux,1,1,0.0
M5_material_controls,4610,689,0.07483731019522777
M6_material_governance,3218,682,0.10472343070229956
M7_material_auditor_basic,3217,682,0.10475598383587192
P1_count_controls,4610,689,0.313882863340564
P2_count_governance,3218,682,0.3057799875699192
P3_count_auditor_basic,3217,682,0.3058750388560771
