model,variable,coef,std_err,t_or_z,p_value,nobs,stars,coef_stars,std_err_fmt
M1_controls,LogAssets_w,0.021953718684039326,0.005623334818070218,3.9040390434324643,9.460050936355589e-05,4610.0,***,0.0220***,(0.0056)
M1_controls,Leverage_w,0.10259743153611105,0.04508808332420137,2.2754888647271705,0.022876619916045927,4610.0,**,0.1026**,(0.0451)
M1_controls,ROA_w,-0.3637576708469263,0.13709535347845989,-2.653318742156196,0.007970456568019361,4610.0,***,-0.3638***,(0.1371)
M1_controls,Loss,0.013719432364253999,0.021695910400265524,0.6323510795880727,0.5271574929538011,4610.0,,0.0137,(0.0217)
M2_governance,LogAssets_w,0.028877846566618435,0.007832533567616123,3.686910029471801,0.00022699356531701254,3218.0,***,0.0289***,(0.0078)
M2_governance,Leverage_w,0.06029387519174902,0.04997574800708286,1.2064626863254515,0.2276391381018953,3218.0,,0.0603,(0.0500)
M2_governance,ROA_w,-0.2944100965949826,0.15524942764275024,-1.8963683220298866,0.05791135766928716,3218.0,*,-0.2944*,(0.1552)
M2_governance,Loss,0.033131634704437155,0.02559733487723592,1.2943392295852487,0.19554827161498356,3218.0,,0.0331,(0.0256)
M2_governance,OutsideDirectorRatio_w,0.07069610236460917,0.06276721147628618,1.1263221784405473,0.26002917345651844,3218.0,,0.0707,(0.0628)
M2_governance,LargestShareholderOwnership_w,-0.0018662300719019035,0.0005576754293173591,-3.34644485626043,0.0008185495868280429,3218.0,***,-0.0019***,(0.0006)
M2_governance,LogMinorityShareholderCount_w,-0.007506261639772714,0.010167467960672744,-0.7382626302641482,0.46035487047598833,3218.0,,-0.0075,(0.0102)
M3_governance_auditor_basic,LogAssets_w,0.031966000215016714,0.008327404878064626,3.8386508982190786,0.00012371217615671633,3217.0,***,0.0320***,(0.0083)
M3_governance_auditor_basic,Leverage_w,0.05996544559326052,0.04990028135692122,1.201705560823321,0.22947762589639675,3217.0,,0.0600,(0.0499)
M3_governance_auditor_basic,ROA_w,-0.2923055842773696,0.15551407829324593,-1.8796085054510758,0.06016145323034604,3217.0,*,-0.2923*,(0.1555)
M3_governance_auditor_basic,Loss,0.03194745904400373,0.0256715317973761,1.2444703064921547,0.21332652121489482,3217.0,,0.0319,(0.0257)
M3_governance_auditor_basic,OutsideDirectorRatio_w,0.07605744183184003,0.06274697205462486,1.2121292763836897,0.22546289853740709,3217.0,,0.0761,(0.0627)
M3_governance_auditor_basic,LargestShareholderOwnership_w,-0.0018002536128031042,0.0005619647468508535,-3.203499192594184,0.0013576842074950943,3217.0,***,-0.0018***,(0.0006)
