model,variable,coef,std_err,t_or_z,p_value,nobs,stars,coef_stars,std_err_fmt
M1_controls,LogAssets_w,0.021953718684039326,0.005623334818070218,3.9040390434324643,9.460050936355589e-05,4610.0,***,0.0220***,(0.0056)
M1_controls,Leverage_w,0.10259743153611105,0.04508808332420137,2.2754888647271705,0.022876619916045927,4610.0,**,0.1026**,(0.0451)
M1_controls,ROA_w,-0.3637576708469263,0.13709535347845989,-2.653318742156196,0.007970456568019361,4610.0,***,-0.3638***,(0.1371)
M1_controls,Loss,0.013719432364253999,0.021695910400265524,0.6323510795880727,0.5271574929538011,4610.0,,0.0137,(0.0217)
M5_material_controls,LogAssets_w,0.016504548002755196,0.003203982463794264,5.151260404593462,2.587416276698798e-07,4610.0,***,0.0165***,(0.0032)
M5_material_controls,Leverage_w,-0.00316192831262832,0.024759877339503827,-0.1277037147346257,0.8983834502330831,4610.0,,-0.0032,(0.0248)
M5_material_controls,ROA_w,-0.18254798329144306,0.07891550160557885,-2.3132081730129688,0.02071119643062985,4610.0,**,-0.1825**,(0.0789)
M5_material_controls,Loss,0.008395335465061637,0.012722662002329636,0.6598725536781826,0.509335618605427,4610.0,,0.0084,(0.0127)
P1_count_controls,LogAssets_w,0.10878263511116992,0.020080382369883187,5.417358748821611,6.04859000759958e-08,4610.0,***,0.1088***,(0.0201)
P1_count_controls,Leverage_w,0.5630974855754289,0.16023386410774215,3.514222718842997,0.0004410428565918032,4610.0,***,0.5631***,(0.1602)
P1_count_controls,ROA_w,-2.6753591902682023,0.47221607610605265,-5.665540259301458,1.4656200657556451e-08,4610.0,***,-2.6754***,(0.4722)
P1_count_controls,Loss,0.08199990731132532,0.08251239581827859,0.9937889513221512,0.320325626235079,4610.0,,0.0820,(0.0825)
