estimator,theta,wald_low,wald_high,multiplier_low,multiplier_high,selfnorm_low,selfnorm_high,selfnorm_se
standard_dml,6084.3054148255305,3224.3344967844646,8944.276332866597,3177.381611208327,9099.866256224714,3224.4787248749285,8944.132104776132,1459.1220616850871
score_clipped_dml_q0.95,6038.622274968824,4807.0686261563515,7270.175923781297,4762.581930082441,7286.211572460208,4807.13073330225,7270.1138166353985,628.3235566471744
