estimator,theta,se,ci_low,ci_high,J_hat,score_sd,top1_share,top05_share,ess,tau,q,bias_proxy,notes
standard_dml,6084.3054148255305,1459.1956487977084,3224.3344967844646,8944.276332866597,-0.20137809899446477,29259.851794886483,0.18575408729640147,0.13897828915815164,1117.002481665566,,,,Standard orthogonal-score DML.
outcome_winsorized_dml,7218.35196076223,711.7691528777224,5823.310055815311,8613.39386570915,-0.20137809899446477,14272.42463512941,0.11006871422743421,0.06260027645210967,2924.7892180766203,,,,Standard orthogonal-score DML.
covariate_winsorized_dml,6455.94362581452,1412.6819719445573,3687.1378391941644,9224.749412434874,-0.2010392618191854,28279.494565133857,0.18663902047673736,0.14001156469601597,1171.108926805928,,,,Standard orthogonal-score DML.
score_clipped_dml_q0.95,6038.622274968824,628.3552445487829,4807.0686261563515,7270.175923781297,-0.18247794754431212,11417.262625224714,0.03976178763527555,0.01968007670836871,4591.478090172989,30938.083929315162,0.95,2050.7208909114343,Clipped-score DML using empirical preliminary-score quantile.
score_clipped_dml_q0.97,6567.361269843138,656.6663783576645,5280.318818403763,7854.403721282513,-0.1898142539689893,12411.37684932681,0.048893361274412246,0.02419974446915353,4237.536129433468,39729.74950565799,0.97,1713.3751602417694,Clipped-score DML using empirical preliminary-score quantile.
score_clipped_dml_q0.99,7458.1889050913305,762.6451639573925,5963.431850751197,8952.945959431465,-0.19749075144273848,14997.388514946504,0.08660735440897736,0.042866266323635244,3391.6772671654976,76079.37525474055,0.99,1064.5441092294616,Clipped-score DML using empirical preliminary-score quantile.
score_clipped_dml_q0.995,7592.3817920069105,829.4561221008258,5966.677665933034,9218.085918080787,-0.19942902111219626,16471.309727949145,0.1121146802677181,0.06136421734199163,2977.255230911741,112067.51552830533,0.995,811.2014934289132,Clipped-score DML using empirical preliminary-score quantile.
score_clipped_dml_q0.999,7070.442874312595,1057.2484590136405,4998.2739719353885,9142.611776689802,-0.20087013219305197,21146.514060444984,0.15544939326370513,0.10708266095482613,1993.0130659450822,319992.5932607212,0.999,349.8769312595368,Clipped-score DML using empirical preliminary-score quantile.
