estimator,bias,rmse,coverage,top1_share,top05_share,ess
covariate_winsorized_dml,0.029347987418281617,0.21610396778750948,0.9395833333333333,0.11810105125743929,0.06496551008629438,460.84144450018516
outcome_winsorized_dml,0.02213110088242389,0.2090262699057298,0.925,0.11079671882189913,0.0589604196121003,489.8619792723291
score_clipped_dml_q0.95,0.0355673118069536,0.11795181961772637,0.91875,0.03856983430791216,0.017999256010359007,752.2285812968879
score_clipped_dml_q0.97,0.03263800086358465,0.15579688069455927,0.91875,0.05693255104708084,0.026568523821971057,622.0509007831936
score_clipped_dml_q0.99,0.030731558683028137,0.19986649290121458,0.9229166666666667,0.0913907410770863,0.0426491145306139,519.5498610967738
score_clipped_dml_q0.995,0.030369209666210324,0.20805704037490072,0.9208333333333333,0.10538760843948917,0.05153580681076135,495.60027371238084
score_clipped_dml_q0.999,0.031595468797182356,0.21453821474965576,0.93125,0.11548324163761556,0.062224770795752324,471.65136257989053
standard_dml,0.03241838069480793,0.21632409905605415,0.9333333333333333,0.11808893575204246,0.06499129098441205,460.60131860082606
