feature,mean_abs_shap
surp_path_next,0.03731102407880785
dlogVIX_lag1,0.016551743001061374
EPU_lag1,0.016312986655958917
VIX_lag1,0.013213714754231049
surp_target,0.011083445818141989
term_slope_lag1,0.009619557074951726
PC,0.003802026415682191
SEP,0.0005108960316217839
Unscheduled,0.00015033162733815071
