var,HC1_t,HC1_p,WB_null_p,WB_unrestricted_p,Perm_p,Perm_beta
surp_path_next,2.8233281144657405,0.004752790327324664,0.00020002000200020003,0.5332533253325332,0.0032,1.4489873712461276
surp_target,-0.773567003277996,0.43918689134774835,0.5203520352035204,0.5956595659565956,0.3046,-0.515972777438296
