model,variable,coef,std_err,t_or_z,p_value
M2_audit,C(sector)[T.도로 화물 운송업],0.1957181339485709,0.1349308373264221,1.4505070733022527,0.14691716816082556
M2_audit,"C(sector)[T.도축, 육류 가공 및 저장 처리업]",-0.22865483081005156,0.09556643166449491,-2.3926270639965934,0.016728234694356064
M2_audit,C(sector)[T.동·식물성 유지 및 낙농제품 제조업],0.15610932001295097,0.19726069006529445,0.7913858557489476,0.4287188612401974
M2_audit,C(sector)[T.동물용 사료 및 조제식품 제조업],-0.16419239458373638,0.0772354095313715,-2.1258694111933814,0.03351413449536608
M2_audit,"C(sector)[T.떡, 빵 및 과자류 제조업]",-0.15055963881208698,0.08059792722381613,-1.8680336330981677,0.06175738307011998
M2_audit,C(sector)[T.무기 및 총포탄 제조업],-0.18185825787754423,0.08977817501655197,-2.025639949174907,0.04280169457245891
M2_audit,C(sector)[T.무점포 소매업],-0.12071673292677007,0.07833094220732235,-1.5411117181159797,0.12328959838637935
M2_audit,C(sector)[T.반도체 제조업],0.24968917218743059,0.14739333802593796,1.6940329565199943,0.0902590207183161
M2_audit,C(sector)[T.방적 및 가공사 제조업],0.11255793894887339,0.1686612529896496,0.6673609792035687,0.5045415842675691
M2_audit,C(sector)[T.봉제의복 제조업],0.00935724526626426,0.1001237353649232,0.0934568135333715,0.925540657289412
M2_audit,"C(sector)[T.비료, 농약 및 살균, 살충제 제조업]",0.2380699867499384,0.2156400595019399,1.1040155864351202,0.26958637653941775
M2_audit,C(sector)[T.비알코올음료 및 얼음 제조업],-0.17902071882575601,0.0866464044955237,-2.066106722697357,0.03881840360796577
M2_audit,C(sector)[T.산업용 농·축산물 및 동·식물 도매업],-0.21156287741731633,0.08350555418614145,-2.5335186321346184,0.011292373673350514
M2_audit,C(sector)[T.상품 종합 도매업],0.10945556568143672,0.11475668144343155,0.9538056024684891,0.34018205298467474
M2_audit,C(sector)[T.상품 중개업],-0.18812332572843787,0.08287727598167882,-2.269902376738651,0.023213506885948348
M2_audit,C(sector)[T.생활용품 도매업],0.03560250930222719,0.19089194320865985,0.18650608665715587,0.8520479061387979
