rcept_no,corp_cls,corp_code,corp_name,stock_knd,nm,relate,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,rm,stlm_dt,query_year,endpoint_label
20200330003747,Y,00139834,LG씨엔에스,보통주식,구본준,특수관계인,"243,200",0.30,"243,200",0.30,-,2019-12-31,2019,largest_shareholder
20200330003747,Y,00139834,LG씨엔에스,보통주식,구본식,특수관계인,"121,500",0.10,"121,500",0.10,-,2019-12-31,2019,largest_shareholder
20200330003747,Y,00139834,LG씨엔에스,보통주식,이순환,특수관계인,"3,917",0.00,"3,917",0.00,-,2019-12-31,2019,largest_shareholder
20200330003747,Y,00139834,LG씨엔에스,보통주식,홍상희,특수관계인,"3,304",0.00,0,0.00,임기만료,2019-12-31,2019,largest_shareholder
20200330003747,Y,00139834,LG씨엔에스,보통주식,안종봉,특수관계인,"3,074",0.00,"3,074",0.00,-,2019-12-31,2019,largest_shareholder
20200330003747,Y,00139834,LG씨엔에스,보통주식,강현욱,특수관계인,"2,762",0.00,0,0.00,지분매각,2019-12-31,2019,largest_shareholder
20200330003747,Y,00139834,LG씨엔에스,보통주식,계,,"76,161,946",87.30,"76,151,712",87.30,-,2019-12-31,2019,largest_shareholder
20200330003747,Y,00139834,LG씨엔에스,기타주식,계,,-,-,-,-,-,2019-12-31,2019,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,(주)엘지,최대주주,"74,076,292",84.95,"43,557,218",49.95,"35%지분매각
(2020.04.29)",2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,윤성원,특수관계인,202,0.00,2,0.00,-,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,김혜정,특수관계인,202,0.00,202,0.00,-,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,권주오,특수관계인,0,0.00,"1,750",0.00,신규선임,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,윤장현,특수관계인,0,0.00,2,0.00,신규선임,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,김성욱,특수관계인,0,0.00,2,0.00,신규선임,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,구광모,특수관계인,"972,600",1.12,"972,600",1.12,-,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,구본능,특수관계인,"729,400",0.84,"729,400",0.84,-,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,구본준,특수관계인,"243,200",0.28,"243,200",0.28,-,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,구본식,특수관계인,"121,500",0.14,"121,500",0.14,-,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,이순환,특수관계인,"3,917",0.00,"3,917",0.00,-,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,안종봉,특수관계인,"3,074",0.00,0,0.00,임기만료,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,김흥식,특수관계인,825,0.00,0,0.00,임기만료,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,이성은,특수관계인,500,0.00,0,0.00,임기만료,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,보통주식,계,,"76,151,712",87.33,"45,629,793",52.33,-,2020-12-31,2020,largest_shareholder
20210331001781,Y,00139834,LG씨엔에스,기타주식,계,,-,-,-,-,-,2020-12-31,2020,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,(주)엘지,최대주주,"43,557,218",49.95,"43,557,218",49.95,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,윤장현,특수관계인,2,0.00,2,0.00,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,윤성원,특수관계인,2,0.00,0,0.00,계열제외,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,김성욱,특수관계인,2,0.00,2,0.00,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,구광모,특수관계인,"972,600",1.12,"972,600",1.12,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,구본능,특수관계인,"729,400",0.84,"729,400",0.84,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,구본준,특수관계인,"243,200",0.28,"243,200",0.28,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,구본식,특수관계인,"121,500",0.14,"121,500",0.14,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,이순환,특수관계인,"3,917",0.00,"3,917",0.00,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,권주오,특수관계인,"1,750",0.00,"1,750",0.00,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,이상현,특수관계인,0,0.00,910,0.00,신규선임,2021-12-31,2021,largest_shareholder
