rcept_no,corp_cls,corp_code,corp_name,bsns_year,adtor,adt_opinion,adt_reprt_spcmnt_matter,stlm_dt,query_year,endpoint_label,emphs_matter,core_adt_matter
20220405002309,Y,00139834,LG씨엔에스,제34기,안진 회계법인,적정,-,2021-12-31,2021,auditor_opinion,,"총계약원가
추정의 변경"
20220405002309,Y,00139834,LG씨엔에스,제33기,안진 회계법인,적정,-,2021-12-31,2021,auditor_opinion,,"총계약원가
추정의 변경"
20230331004072,Y,00139834,LG씨엔에스,제36기(당기),삼일 회계법인,적정,-,2022-12-31,2022,auditor_opinion,,(별도/연결) 건설형계약 총계약원가의 추정
20230331004072,Y,00139834,LG씨엔에스,제35기(전기),안진 회계법인,적정,-,2022-12-31,2022,auditor_opinion,,(별도/연결) 총계약원가 추정의 변경
20230331004072,Y,00139834,LG씨엔에스,제34기(전전기),안진 회계법인,적정,-,2022-12-31,2022,auditor_opinion,,(별도/연결) 총계약원가 추정의 변경
20240401003467,Y,00139834,LG씨엔에스,제37기(당기),삼일 회계법인,적정,-,2023-12-31,2023,auditor_opinion,,(별도/연결) 건설형계약 총계약원가의 추정
20240401003467,Y,00139834,LG씨엔에스,제36기(전기),삼일 회계법인,적정,-,2023-12-31,2023,auditor_opinion,,(별도/연결) 건설형계약 총계약원가의 추정
20240401003467,Y,00139834,LG씨엔에스,제35기(전전기),안진 회계법인,적정,-,2023-12-31,2023,auditor_opinion,,(별도/연결) 총계약원가 추정의 변경
20250311001270,Y,00139834,LG씨엔에스,"제38기
(당기)",삼일 회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,건설형계약 총계약원가의 추정
20250311001270,Y,00139834,LG씨엔에스,"제38기
(당기)",삼일 회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,건설형계약 총계약원가의 추정
20250311001270,Y,00139834,LG씨엔에스,"제37기
(전기)",삼일 회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,건설형계약 총계약원가의 추정
20250311001270,Y,00139834,LG씨엔에스,"제37기
(전기)",삼일 회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,건설형계약 총계약원가의 추정
20250311001270,Y,00139834,LG씨엔에스,"제36기
(전전기)",삼일 회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,건설형계약 총계약원가의 추정
20250311001270,Y,00139834,LG씨엔에스,"제36기
(전전기)",삼일 회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,건설형계약 총계약원가의 추정
20250319000653,Y,01519790,엠앤씨솔루션,"제5기
(당기)",이촌회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,영업권 손상평가
20250319000653,Y,01519790,엠앤씨솔루션,"제5기
(당기)",-,,-,2024-12-31,2024,auditor_opinion,,
20250319000653,Y,01519790,엠앤씨솔루션,"제4기
(전기)",한영회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,부품정비 및 개발용역 수익인식,해당사항 없음
20250319000653,Y,01519790,엠앤씨솔루션,"제4기
(전기)",한영회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,부품정비 및 개발용역 수익인식,해당사항 없음
20250319000653,Y,01519790,엠앤씨솔루션,"제3기
(전전기)",한영회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,부품정비 및 개발용역 수익인식,해당사항 없음
20250319000653,Y,01519790,엠앤씨솔루션,"제3기
(전전기)",한영회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,부품정비 및 개발용역 수익인식,해당사항 없음
