corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year,CorrectionDummy_filing
00155212,포스코DX,022100,Y,사업보고서 (2021.12),20220311000948,포스코DX,20220311,정연,2022,2022,0
00155212,포스코DX,022100,Y,사업보고서 (2022.12),20230310000806,포스코DX,20230310,연,2023,2023,0
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2023.12),20240618000197,포스코DX,20240618,연,2024,2024,1
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2023.12),20240313001522,포스코DX,20240313,정연,2024,2024,1
00155212,포스코DX,022100,Y,사업보고서 (2023.12),20240313000904,포스코DX,20240313,정연,2024,2024,0
00108612,DS단석,017860,Y,사업보고서 (2023.12),20240320000618,DS단석,20240320,연,2024,2024,0
00367710,동인기연,111380,Y,사업보고서 (2023.12),20240321000011,동인기연,20240321,연,2024,2024,0
01311408,에코프로머티,450080,Y,사업보고서 (2022.12),20230321001386,에코프로머티,20230321,,2023,2023,0
01311408,에코프로머티,450080,Y,[기재정정]사업보고서 (2023.12),20240417000528,에코프로머티,20240417,,2024,2024,1
01311408,에코프로머티,450080,Y,사업보고서 (2023.12),20240319000789,에코프로머티,20240319,정,2024,2024,0
01105153,두산로보틱스,454910,Y,사업보고서 (2023.12),20240320001860,두산로보틱스,20240320,연,2024,2024,0
01784394,STX그린로지스,465770,Y,사업보고서 (2023.12),20240321001878,STX그린로지스,20240321,연,2024,2024,0
00220613,넥스틸,092790,Y,사업보고서 (2023.12),20240321001898,넥스틸,20240321,연,2024,2024,0
00158325,NICE평가정보,030190,Y,사업보고서 (2017.12),20180330000091,NICE평가정보,20180330,연,2018,2018,0
00158325,NICE평가정보,030190,Y,사업보고서 (2018.12),20190329002018,NICE평가정보,20190329,연,2019,2019,0
00158325,NICE평가정보,030190,Y,사업보고서 (2019.12),20200330001709,NICE평가정보,20200330,연,2020,2020,0
00158325,NICE평가정보,030190,Y,사업보고서 (2020.12),20210317000949,NICE평가정보,20210317,연,2021,2021,0
00158325,NICE평가정보,030190,Y,사업보고서 (2021.12),20220318000520,NICE평가정보,20220318,연,2022,2022,0
00158325,NICE평가정보,030190,Y,사업보고서 (2022.12),20230317000824,NICE평가정보,20230317,연,2023,2023,0
00158325,NICE평가정보,030190,Y,사업보고서 (2023.12),20240319000797,NICE평가정보,20240319,연,2024,2024,0
01770203,조선내화,462520,Y,[기재정정]사업보고서 (2023.12),20240315000658,조선내화,20240315,연,2024,2024,1
01770203,조선내화,462520,Y,사업보고서 (2023.12),20240313001572,조선내화,20240313,정연,2024,2024,0
00447609,비에이치,090460,Y,[첨부추가]사업보고서 (2017.12),20180402002293,비에이치,20180402,정연,2018,2018,0
00447609,비에이치,090460,Y,[기재정정]사업보고서 (2017.12),20180511003145,비에이치,20180511,연,2018,2018,1
00447609,비에이치,090460,Y,[기재정정]사업보고서 (2017.12),20180511002642,비에이치,20180511,정연,2018,2018,1
00447609,비에이치,090460,Y,[기재정정]사업보고서 (2018.12),20190620000077,비에이치,20190620,연,2019,2019,1
00447609,비에이치,090460,Y,사업보고서 (2018.12),20190401003831,비에이치,20190401,정연,2019,2019,0
00447609,비에이치,090460,Y,사업보고서 (2019.12),20200330000561,비에이치,20200330,연,2020,2020,0
00447609,비에이치,090460,Y,[기재정정]사업보고서 (2020.12),20210331002350,비에이치,20210331,연,2021,2021,1
00447609,비에이치,090460,Y,[기재정정]사업보고서 (2020.12),20210322000225,비에이치,20210322,정연,2021,2021,1
00447609,비에이치,090460,Y,사업보고서 (2020.12),20210318001181,비에이치,20210318,정연,2021,2021,0
00447609,비에이치,090460,Y,사업보고서 (2021.12),20220317000686,비에이치,20220317,연,2022,2022,0
00447609,비에이치,090460,Y,사업보고서 (2022.12),20230323000767,비에이치,20230323,연,2023,2023,0
00447609,비에이치,090460,Y,사업보고서 (2023.12),20240321001824,비에이치,20240321,연,2024,2024,0
01765256,동국씨엠,460850,Y,사업보고서 (2023.12),20240313000637,동국씨엠,20240313,,2024,2024,0
01765265,동국제강,460860,Y,사업보고서 (2023.12),20240312000543,동국제강,20240312,,2024,2024,0
01762569,이수스페셜티케미컬,457190,Y,[기재정정]사업보고서 (2023.12),20240411004116,이수스페셜티케미컬,20240411,,2024,2024,1
01762569,이수스페셜티케미컬,457190,Y,사업보고서 (2023.12),20240321001821,이수스페셜티케미컬,20240321,정,2024,2024,0
01760738,OCI,456040,Y,사업보고서 (2023.12),20240314000710,OCI,20240314,,2024,2024,0
00480367,SK오션플랜트,100090,Y,[기재정정]사업보고서 (2017.12),20180330002750,SK오션플랜트,20180330,연,2018,2018,1
00480367,SK오션플랜트,100090,Y,사업보고서 (2017.12),20180330001434,SK오션플랜트,20180330,정연,2018,2018,0
00480367,SK오션플랜트,100090,Y,사업보고서 (2018.12),20190329001733,SK오션플랜트,20190329,연,2019,2019,0
00480367,SK오션플랜트,100090,Y,사업보고서 (2019.12),20200330003171,SK오션플랜트,20200330,연,2020,2020,0
00480367,SK오션플랜트,100090,Y,사업보고서 (2020.12),20210318000211,SK오션플랜트,20210318,연,2021,2021,0
