corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year
00171265,파라다이스,034230,Y,분기보고서 (2023.09),20231114000764,파라다이스,20231114,,2023,2023
00171265,파라다이스,034230,Y,반기보고서 (2023.06),20230814000567,파라다이스,20230814,,2023,2023
00171265,파라다이스,034230,Y,분기보고서 (2023.03),20230515000879,파라다이스,20230515,,2023,2023
00171265,파라다이스,034230,Y,사업보고서 (2022.12),20230316001131,파라다이스,20230316,연,2023,2023
00171265,파라다이스,034230,Y,분기보고서 (2024.09),20241114001521,파라다이스,20241114,,2024,2024
00171265,파라다이스,034230,Y,반기보고서 (2024.06),20240814003760,파라다이스,20240814,,2024,2024
00171265,파라다이스,034230,Y,분기보고서 (2024.03),20240514001129,파라다이스,20240514,,2024,2024
00171265,파라다이스,034230,Y,사업보고서 (2023.12),20240314000746,파라다이스,20240314,연,2024,2024
01194689,HD현대마린솔루션,443060,Y,분기보고서 (2024.09),20241114001662,HD현대마린솔루션,20241114,,2024,2024
01194689,HD현대마린솔루션,443060,Y,[기재정정]반기보고서 (2024.06),20240814003800,HD현대마린솔루션,20240814,,2024,2024
01194689,HD현대마린솔루션,443060,Y,반기보고서 (2024.06),20240813001613,HD현대마린솔루션,20240813,정,2024,2024
01817081,SK이터닉스,475150,Y,분기보고서 (2024.09),20241114001767,SK이터닉스,20241114,,2024,2024
01817081,SK이터닉스,475150,Y,반기보고서 (2024.06),20240814002548,SK이터닉스,20240814,,2024,2024
01817081,SK이터닉스,475150,Y,분기보고서 (2024.03),20240516001290,SK이터닉스,20240516,,2024,2024
01190568,에이피알,278470,Y,분기보고서 (2018.09),20181114002822,에이피알,20181114,정,2018,2018
01190568,에이피알,278470,Y,[기재정정]반기보고서 (2018.06),20180821000238,에이피알,20180821,정,2018,2018
01190568,에이피알,278470,Y,반기보고서 (2018.06),20180814002134,에이피알,20180814,정,2018,2018
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2018.03),20180528000268,에이피알,20180528,정,2018,2018
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2017.12),20180528000239,에이피알,20180528,정,2018,2018
01190568,에이피알,278470,Y,분기보고서 (2018.03),20180521000085,에이피알,20180521,정,2018,2018
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2017.12),20180417000178,에이피알,20180417,정,2018,2018
01190568,에이피알,278470,Y,사업보고서 (2017.12),20180416000361,에이피알,20180416,정,2018,2018
01190568,에이피알,278470,Y,분기보고서 (2019.09),20191114002234,에이피알,20191114,정,2019,2019
01190568,에이피알,278470,Y,[기재정정]반기보고서 (2019.06),20191114002173,에이피알,20191114,정,2019,2019
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2019.03),20191114002151,에이피알,20191114,정,2019,2019
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20191114002071,에이피알,20191114,정,2019,2019
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2018.09),20191114002021,에이피알,20191114,정,2019,2019
01190568,에이피알,278470,Y,[기재정정]반기보고서 (2018.06),20191114001967,에이피알,20191114,정,2019,2019
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2018.03),20191114001837,에이피알,20191114,정,2019,2019
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2017.12),20191114001781,에이피알,20191114,정,2019,2019
01190568,에이피알,278470,Y,반기보고서 (2019.06),20190814002791,에이피알,20190814,정,2019,2019
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2019.03),20190528000213,에이피알,20190528,정,2019,2019
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20190528000207,에이피알,20190528,정,2019,2019
01190568,에이피알,278470,Y,분기보고서 (2019.03),20190515000601,에이피알,20190515,정,2019,2019
01190568,에이피알,278470,Y,사업보고서 (2018.12),20190401003737,에이피알,20190401,정,2019,2019
01190568,에이피알,278470,Y,분기보고서 (2020.09),20201116000737,에이피알,20201116,,2020,2020
01190568,에이피알,278470,Y,[기재정정]반기보고서 (2020.06),20200924000303,에이피알,20200924,,2020,2020
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2020.03),20200924000299,에이피알,20200924,,2020,2020
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2019.12),20200924000296,에이피알,20200924,연,2020,2020
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2019.09),20200924000294,에이피알,20200924,,2020,2020
01190568,에이피알,278470,Y,[기재정정]반기보고서 (2019.06),20200924000290,에이피알,20200924,,2020,2020
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2019.03),20200924000289,에이피알,20200924,,2020,2020
