stock_code,corp_code,corp_name,year,market,sector,CorrectionDummy,CorrectionCount,MaterialCorrectionDummy,MaterialCorrectionCount,AuditorName,Big4Auditor,CleanOpinion,AuditFee,NonAuditFee,NonAuditFeeRatio,BoardSize,OutsideDirectorCount,OutsideDirectorRatio,LargestShareholderOwnership,MinorityShareholderRatio,MinorityShareholderCount,Assets,Liabilities,Equity,Revenue,OperatingIncome,NetIncome,LogAssets,Leverage,ROA,Loss,listing_date,FirstCorrectionDate,LastCorrectionDate,MaterialKeywordHits,AuditOpinion,AuditHours,NonAuditContractCount,OutsideDirectorAppointed,OutsideDirectorDismissed,OutsideDirectorResigned,Size,LogAuditFee,CorrectionCount_Log
217590,00949161,티엠씨,2018,KOSPI,절연선 및 케이블 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-12-15,,,0,,,,,,,,,0.0
217590,00949161,티엠씨,2019,KOSPI,절연선 및 케이블 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-12-15,,,0,,,,,,,,,0.0
217590,00949161,티엠씨,2020,KOSPI,절연선 및 케이블 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-12-15,,,0,,,,,,,,,0.0
217590,00949161,티엠씨,2021,KOSPI,절연선 및 케이블 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-12-15,,,0,,,,,,,,,0.0
217590,00949161,티엠씨,2022,KOSPI,절연선 및 케이블 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-12-15,,,0,,,,,,,,,0.0
217590,00949161,티엠씨,2023,KOSPI,절연선 및 케이블 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-12-15,,,0,,,,,,,,,0.0
217590,00949161,티엠씨,2024,KOSPI,절연선 및 케이블 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-12-15,,,0,,,,,,,,,0.0
317450,00179489,명인제약,2018,KOSPI,의약품 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-10-01,,,0,,,,,,,,,0.0
317450,00179489,명인제약,2019,KOSPI,의약품 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-10-01,,,0,,,,,,,,,0.0
317450,00179489,명인제약,2020,KOSPI,의약품 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-10-01,,,0,,,,,,,,,0.0
317450,00179489,명인제약,2021,KOSPI,의약품 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-10-01,,,0,,,,,,,,,0.0
317450,00179489,명인제약,2022,KOSPI,의약품 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-10-01,,,0,,,,,,,,,0.0
317450,00179489,명인제약,2023,KOSPI,의약품 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-10-01,,,0,,,,,,,,,0.0
317450,00179489,명인제약,2024,KOSPI,의약품 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-10-01,,,0,,,,,,,,,0.0
439260,00182696,대한조선,2018,KOSPI,선박 및 보트 건조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-08-01,,,0,,,,,,,,,0.0
439260,00182696,대한조선,2019,KOSPI,선박 및 보트 건조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-08-01,,,0,,,,,,,,,0.0
