stock_code,corp_name,market,market_raw,sector,main_products,listing_date,fiscal_month,region,is_financial_narrow,is_financial_conservative,exclude_reason,is_standard_stock_code,is_financial_auto,corp_code,corp_name_dart,modify_date
452260,한화갤러리아,KOSPI,유가,종합 소매업,백화점,2023-03-31,12월,서울특별시,False,False,,True,False,01722437,한화갤러리아,20240514
377740,바이오노트,KOSPI,유가,의료용품 및 기타 의약 관련제품 제조업,"Rapid 반제품 및 완제품, 동물용신속진단 키트",2022-12-22,12월,경기도,False,False,,True,False,00622787,바이오노트,20221222
446070,유니드비티플러스,KOSPI,유가,제재 및 목재 가공업,MDF 등,2022-11-28,12월,서울특별시,False,False,,True,False,01702017,유니드비티플러스,20260317
108320,LX세미콘,KOSPI,유가,반도체 제조업,Display Driver IC,2022-11-03,12월,대전광역시,False,False,,True,False,00525934,LX세미콘,20240322
403550,쏘카,KOSPI,유가,운송장비 임대업,"카셰어링, 모빌리티 플랫폼 등",2022-08-22,12월,제주특별자치도,False,False,,True,False,01026157,쏘카,20251113
126720,수산인더스트리,KOSPI,유가,전기 및 통신 공사업,전력발전설비 정비 용역,2022-08-01,12월,충청남도,False,False,,True,False,00193328,수산인더스트리,20260504
373220,LG에너지솔루션,KOSPI,유가,일차전지 및 이차전지 제조업,"2차전지 (소형,ESS,자동차전지)",2022-01-27,12월,서울특별시,False,False,,True,False,01515323,LG에너지솔루션,20250812
381970,케이카,KOSPI,유가,자동차 판매업,오프라인 및 온라인 중고차 매매업,2021-10-13,12월,서울특별시,False,False,,True,False,01323032,케이카,20231114
329180,HD현대중공업,KOSPI,유가,선박 및 보트 건조업,"선박, 해양플랜트 및 엔진기계 등",2021-09-17,12월,울산광역시,False,False,,True,False,01390344,HD현대중공업,20260401
271940,일진하이솔루스,KOSPI,유가,그외 기타 운송장비 제조업,"수소승용용기, 매연저감장치 등",2021-09-01,12월,전북특별자치도,False,False,,True,False,00972503,일진하이솔루스,20260320
139990,아주스틸,KOSPI,유가,1차 철강 제조업,"프리미엄 가전용 고품질 컬러강판, 건자재 등",2021-08-20,12월,경상북도,False,False,,True,False,00486705,아주스틸,20250109
089860,롯데렌탈,KOSPI,유가,운송장비 임대업,"렌터카, 카셰어링(그린카), 중고차매매, 일반렌탈(측정기,OA, 리프트 등)",2021-08-19,12월,경기도,False,False,,True,False,00545716,롯데렌탈,20230324
372910,한컴라이프케어,KOSPI,유가,의료용 기기 제조업,"공기호흡기, 방독면, 보호복 등",2021-08-17,12월,경기도,False,False,,True,False,00534598,한컴라이프케어,20250103
259960,크래프톤,KOSPI,유가,소프트웨어 개발 및 공급업,<배틀그라운드> 등 게임 소프트웨어,2021-08-10,12월,서울특별시,False,False,,True,False,00760971,크래프톤,20231027
178920,PI첨단소재,KOSPI,유가,플라스틱제품 제조업,PI(Polyimide)제품,2021-08-09,12월,충청북도,False,False,,True,False,00767460,PI첨단소재,20230324
137310,에스디바이오센서,KOSPI,유가,의료용 기기 제조업,STANDARD Q 항원/항체 진단키트(COVID-19 진단키트),2021-07-16,12월,경기도,False,False,,True,False,00854997,에스디바이오센서,20250327
097520,엠씨넥스,KOSPI,유가,영상 및 음향기기 제조업,"모바일 카메라모듈,전장 카메라모듈,블랙박스,IP 카메라",2021-07-06,12월,인천광역시,False,False,,True,False,00564562,엠씨넥스,20230227
