rcept_no,corp_cls,corp_code,corp_name,bsns_year,adtor,cn,mendng,tot_reqre_time,adt_cntrct_dtls_mendng,adt_cntrct_dtls_time,real_exc_dtls_mendng,real_exc_dtls_time,stlm_dt,query_year,endpoint_label
20250320000574,Y,00968607,더본코리아,제30기(전기),삼정회계법인,재무제표 감사,-,-,150,"1,250",150,"1,397",2024-12-31,2024,audit_contract
20250320000574,Y,00968607,더본코리아,제29기(전전기),참회계법인,재무제표 감사,-,-,110,984,110,"1,075",2024-12-31,2024,audit_contract
20250317000812,Y,01867758,한화비전,제1기(당기),삼일회계법인,"- 별도 및 연결 분/반기 재무제표에 대한 감사- 별도 및 연결 재무제표에 대한 감사
- 내부회계관리제도에 대한 감사",-,-,130,"1,200",60,"1,137",2024-12-31,2024,audit_contract
20250317000812,Y,01867758,한화비전,-,-,-,-,-,-,-,-,-,2024-12-31,2024,audit_contract
20250317000812,Y,01867758,한화비전,-,-,-,-,-,-,-,-,-,2024-12-31,2024,audit_contract
20250317000567,Y,00372129,전진건설로봇,제26기(당기),삼일회계법인,"기말 연결 및 별도 재무제표 감사
분기 연결 및 별도 재무제표 검토
 내부회계관리제도 감사",-,-,165,"1,290",165,1227,2024-12-31,2024,audit_contract
20250317000567,Y,00372129,전진건설로봇,제25기(전기),삼일회계법인,"기말 연결 및 별도 재무제표 감사
 내부회계관리제도 검토",-,-,127,"1,000",127,949,2024-12-31,2024,audit_contract
20250317000567,Y,00372129,전진건설로봇,제24기(전전기),삼정회계법인,"기말 연결 및 별도 재무제표 감사
 내부회계관리제도 검토",-,-,127,"1,087",127,"1,082",2024-12-31,2024,audit_contract
20250328001583,Y,00366438,산일전기,-,-,-,-,-,-,-,-,-,2024-12-31,2024,audit_contract
20250328001583,Y,00366438,산일전기,-,-,-,-,-,-,-,-,-,2024-12-31,2024,audit_contract
20250328001583,Y,00366438,산일전기,-,-,-,-,-,-,-,-,-,2024-12-31,2024,audit_contract
20250319000952,Y,01384787,시프트업,제12기 (당기),한영회계법인,"- 기말 재무제표 감사
- 내부회계관리제도 감사",-,-,150,"1,320",150,"1,543",2024-12-31,2024,audit_contract
20250319000952,Y,01384787,시프트업,제11기(전기),삼정회계법인,"- 3분기 재무제표 감사
- 기말 재무제표 감사",-,-,290,"1,650",290,"1,276",2024-12-31,2024,audit_contract
